,Upregulated,Downregulated
674,Irf8,Flrt3
675,Idua,Camk2b
676,Irgm1,Smarca4
677,Ifngr2,Pcdha4-g
678,Il10ra,Aldoa
679,Il10rb,6-Sep
680,Il17ra,Heatr7b1
681,Il18,Zfp516
682,Il1b,Slc25a13
683,Il1r1,Slc25a22
684,Gimap1,0610010K14Rik
685,Impact,Ube2i
686,Inpp5b,Ect2
687,Ipp,Mrpl15
688,Itga6,Spna2
689,Itgav,Taf6l
690,Itgb2,Rapgef3
691,Itm2b,Otub2
692,Kcnd1,Gps1
693,Kcnj2,Whsc1
694,Klf2,1810020D17Rik
695,Klf3,Gpm6b
696,Kpna3,Naa10
697,Kpna4,Sfxn3
698,Lag3,Txnrd3
699,Ldhb,Clec4n
700,Sh2b3,Carkd
701,Lrmp,Abcf2
702,Lrp5,Aamp
703,Lrp6,2610002J02Rik
704,Ltc4s,Ddah2
705,Blnk,Dctn2
706,Cd180,2310016C08Rik
707,Lyl1,Dact1
708,Marcks,Dapk3
709,Mcl1,Dbf4
710,Mdm4,Ddx19b
711,Abcc1,Axl
712,Map3k5,Lancl1
713,Mertk,Lins
714,Mgp,Lsm6
715,Mrc2,Lysmd4
716,Mut,Cldn12
717,Ppp1r15a,Dlc1
718,Myo7a,Myst2
719,Ncf4,Nploc4
720,Ncoa3,Phc2
721,Nfkb1,Bbip1
722,Nfkbie,Commd7
723,Nmt1,Arhgap32
724,Nnt,Rcc1
725,Zfml,Abi2
726,Npc1,Postn
727,Pcolce,AB124611
728,Pctp,Bcar1
729,Padi2,Ctbp1
730,Pfkfb2,Dctn1
731,Phka1,Tjp2
732,Pip4k2a,Vdac3
733,Prkcb,Dcaf11
734,Prkcq,Wdr12
735,Lypla1,Slc29a1
736,Pla2g4a,Gpsm1
737,Serpine1,Sncaip
738,Plau,Ascc1
739,Pld1,Spag9
740,Pld2,Slc38a3
741,Pmp22,Maged2
742,Ppfibp2,Slc19a1
743,Ctsa,Tnip1
744,Ppt1,Lig1
745,Map2k1,Cd99l2
746,Dnajc3,Rpl34-ps1
747,Pten,Tmem164
748,Ptgs1,Dnmt1
749,Ptprj,Ei24
750,Ptprm,Daxx
751,Abcd3,2410004P03Rik
752,Rad50,Armcx4
753,Rasa3,C1qtnf1
754,Rb1,Spp1
755,Rgl2,AI607873
756,Rgs2,2410017P09Rik
757,Ripk1,Reep2
758,Rock1,Jarid2
759,Rock2,Jkamp
760,Rps6ka1,Jmjd4
761,Trim30a,Scarb1
762,Sat1,Yipf2
763,Scd1,Abhd4
764,Nptn,U2af2
765,Selplg,Parp6
766,Sepp1,Myst4
767,Sh3bp1,Psat1
768,St3gal2,Gramd4
769,Vps4b,Actr3
770,Sla,Itfg3
771,Slc12a2,Gsn
772,Slc4a1ap,Fam160a2
773,Hltf,Bcat2
774,Snta1,Cct3
775,Soat1,Ccdc85b
776,Sparc,Rassf1
777,Serpine2,Zfp383
778,Serpinb9,2310021P13Rik
779,Ss18,Rbmxl1
780,Zfp143,Aco1
781,Stat6,Acvr1b
782,Stk10,Plin2
783,Stx4a,Adh5
784,Syngr1,Adprh
785,Syngr2,Adssl1
786,Tep1,Adss
787,Terf1,Slc25a4
788,Tgfb2,Prdx6
789,Tgfbr1,Ap1g2
790,Tgfbr2,Ap1m1
791,Tgif1,Ap1s1
792,Tgm2,Ap2a2
793,Thbd,Aplp1
794,Tjp1,Aqp1
