,Upregulated,Downregulated
1910,Pon3,Ndufaf3
1911,Letm2,Rhoj
1912,Lpcat2,Jam3
1913,Pfkfb4,Mkrn2
1914,Vps13a,Agtpbp1
1915,Fndc3b,Mrpl46
1916,Cds1,Ilkap
1917,H6pd,Pin1
1918,Trp53bp2,Sdhb
1919,Leprel1,Stard5
1920,E330016A19Rik,Mdp1
1921,Zfyve16,Myl12b
1922,Ticam2,Mesdc2
1923,Amz1,Pgam1
1924,Rab8b,Mum1
1925,Zbtb37,Ssna1
1926,Klhdc7a,Ankra2
1927,Nrip1,Elac2
1928,Vcpip1,Elf2
1929,Nbeal1,Mrps9
1930,Fnip1,Tfpt
1931,Tapt1,Mrto4
1932,Mgat4a,Nol7
1933,Crybg3,Ipo5
1934,Atg4a,Kdelc1
1935,Ticam1,Ndel1
1936,Atp2c1,Igf2bp3
1937,Atg4c,Clns1a
1938,Lpar6,Ssbp3
1939,4930430F08Rik,Spns1
1940,1810030O07Rik,Tubb2b
1941,Wdr44,Abcb6
1942,Tmem161b,Zdhhc16
1943,Rnf139,Dtx2
1944,Rif1,Tollip
1945,2310014H01Rik,Paqr4
1946,Rapgef6,Ift46
1947,Fam53b,Cep70
1948,Dock10,Elp4
1949,Mob3c,Plekhj1
1950,B630005N14Rik,Chchd2
1951,Slco2b1,Sec61b
1952,Spty2d1,Hspbp1
1953,Mlh3,Atp6v1g1
1954,Mbnl2,Mrps23
1955,Ano6,Drap1
1956,Ankhd1,Mrpl38
1957,Fam72a,Ssbp2
1958,Rnf169,Yaf2
1959,Sp110,Arl2bp
1960,Mlec,Lrrc40
1961,Lrrc39,Tbc1d20
1962,Zfp710,Ndufa10
1963,Pion,Cstf1
1964,Rassf2,Sec13
1965,Zfp770,Rpl4
1966,Fam78a,Anapc4
1967,D730040F13Rik,Tomm20
1968,Ppm1k,Zfp593
1969,Zbtb38,Hsbp1
1970,Rttn,Pdhb
1971,Wdfy2,Crip2
1972,Ap4e1,Mrpl28
1973,Dido1,Pcyt2
1974,Rapgef5,Zfpl1
1975,Ppcdc,Qdpr
1976,Fam76b,Kif23
1977,Osbpl11,Phf10
1978,Ubash3b,2410042D21Rik
1979,Lig4,B3gat3
1980,Zfp944,Rps25
1981,Nt5dc1,Ipo4
1982,4732471D19Rik,4930455C21Rik
1983,C130050O18Rik,Fars2
1984,Apba1,Pppde1
1985,Trappc8,Ubxn6
1986,A630001G21Rik,Rab22a
1987,Olfml2b,Cyp4f16
1988,Tacc1,Rab12
1989,Ccdc66,Rab5c
1990,Vps13b,Ttc28
1991,Rinl,Grpel1
1992,Heatr5a,Sgta
1993,Vps13c,Amz2
1994,Chd9,Hnrnpk
1995,Atp2b3,Stmn2
1996,Mysm1,Tbrg1
1997,D030016E14Rik,Sra1
1998,Pptc7,Gm16515
1999,Arl4c,Btd
2000,Xpnpep3,Mrpl17
2001,Pik3r5,Lcmt1
2002,Rint1,Mrps7
2003,Pak2,Atp5d
2004,Wwp1,Dtd1
2005,Arl11,Mrpl54
2006,Camk1d,Sdhc
2007,Agphd1,0610009D07Rik
2008,Slc9a7,Krtcap2
2009,Gpr157,Gng11
2010,Rnf150,Txndc12
2011,Cog3,Chchd3
2012,Cyp2r1,Akr7a5
2013,Mia3,Aurkaip1
2014,Myo1d,Sharpin
2015,Parp16,Eif3f
2016,Zmym6,0610037P05Rik
2017,D19Ertd386e,Rmnd5b
2018,Plcb2,Ube2d3
2019,Secisbp2l,Tspan13
2020,Psd4,Dnajc30
2021,Zfp595,Chchd1
2022,Ralgapb,Acy1
2023,Ctso,Tipin
2024,2010015L04Rik,Wbscr22
2025,Ythdc1,Fam33a
2026,Clec12a,Eef1e1
2027,Crebl2,Tmem57
2028,Fhod1,Tmem14c
2029,Rtn4rl1,Ufc1
2030,Ssh2,Pop4
2031,Kctd12,Nip7
2032,Lrrc8a,Chchd5
2033,Ppp1r3b,Pgls
2034,Klhl18,Nudt14
2035,Prex1,Ubl5
2036,Fam179b,Nop10
2037,Rft1,Arl4d
2038,Ep300,Uqcrc1
2039,Med12l,Lage3
2040,Dennd2c,1110049F12Rik
2041,Slc9a9,Commd4
2042,Gmpr2,Vta1
2043,Hist2h3c1,Nenf
2044,Pxk,1190002H23Rik
2045,Dhx33,Rpl7l1
2046,Arap2,Mrps28
2047,Bbs9,Thoc7
2048,Tnfrsf21,Sc4mol
2049,Rcsd1,Eif1ax
2050,Commd8,Mrps16
2051,4933433P14Rik,Arfgap3
2052,Rgmb,Ssr2
2053,Uvrag,Nicn1
2054,Creb3l2,Mrps17
2055,8030462N17Rik,Ccdc28b
2056,Rab3gap1,1810009A15Rik
2057,Pigv,Haus2
2058,Siglech,Isoc1
2059,Sik2,Tpd52l2
2060,Plscr4,Mrps22
2061,Zfp438,Mrpl37
2062,Slc38a9,Anapc16
2063,Orai2,Ergic3
2064,Agmo,Rtcd1
2065,Nceh1,2310011J03Rik
2066,Rasal3,Slmo2
2067,Ppip5k1,Nudt2
2068,Trim65,Asf1a
2069,Cnot6l,2410001C21Rik
2070,Son,Mcts2
2071,D2hgdh,Aptx
2072,Garnl3,Tbcb
2073,Zscan29,Psmd6
2074,AI467606,Mrpl11
2075,Pld4,Polr2e
2076,Afap1l1,2410004B18Rik
2077,Tnfrsf14,Cyb5b
2078,Ube2q2,1810046J19Rik
2079,Tanc2,Magohb
2080,Zfp120,Cyc1
2081,B230219D22Rik,Mgst3
2082,C1rl,Mrpl20
2083,Prune2,Sys1
2084,Tmem64,Ptpmt1
2085,Aftph,Rpl15
2086,Pik3c3,Rps21
2087,Itpkc,Rpl36al
2088,Ppp1r9a,Fam136a
2089,Tppp,Zmat2
2090,Thada,Prelid1
2091,Pcmtd1,Dda1
2092,Gpr183,2400001E08Rik
2093,Zfp691,Rnf181
2094,Slc17a9,Tab1
2095,P2ry6,Asrgl1
2096,Fam107a,Cul7
2097,Slfn5,Eid1
2098,Accs,Rwdd1
2099,Usp24,2810004N23Rik
2100,1110002N22Rik,Timm50
2101,Nbeal2,Nipsnap3b
2102,Klhl6,Pomp
2103,Dennd4c,Fam107b
2104,Tbc1d2b,Cox6b1
2105,C330019G07Rik,Metap1d
2106,Sh3tc1,Zwint
2107,Tmem140,Gdpd1
2108,Ascc3,2610039C10Rik
2109,Fam175b,Snrnp40
2110,Gmip,Cmpk1
2111,Dagla,Farsa
2112,Tmx3,Gtf3a
2113,Helz,Ormdl3
2114,Zfp933,Snrnp27
2115,5031414D18Rik,Ubr7
2116,Wnk1,Tmem222
2117,D14Ertd668e,5730403B10Rik
2118,Enpp4,Ogfod2
2119,Cep135,Atpbd4
2120,Alg8,Tsen15
2121,Foxk1,Sike1
2122,3110062M04Rik,Ctnnbl1
2123,Trim30d,Pspc1
2124,Mast3,6330409N04Rik
2125,4922501C03Rik,Pgm1
2126,Phkb,Trappc5
2127,Fez2,Uqcrfs1
2128,Rrm2b,Rbm4b
2129,Cybasc3,4921524J17Rik
2130,Xkr8,Map1lc3a
2131,N4bp2l2,Rnf220
2132,Trim56,Dtnbp1
2133,Dennd4b,Prkrip1
2134,Zfp652,Rbm22
2135,Tlr13,Bcs1l
2136,Tlr12,Fbxo25
2137,H2-Ab1,Nacc1
2138,Tes,Tmem223
2139,Exoc5,Wdr45l
2140,Mycbp2,Mrpl33
2141,Man1c1,Lztr1
2142,Acsl4,Hmg20a
2143,Yipf6,Carhsp1
2144,Fndc3a,Bzw1
2145,Cflar,Wwp2
2146,Hook3,1300014I06Rik
2147,Kdelc2,Pccb
2148,Ctdspl2,Plin3
2149,Malat1,Nudt16l1
2150,Gm5512,Bzw2
2151,Gm6548,Ndufb7
2152,Pvt1,Sdhd
2153,Neat1,3110001D03Rik
2154,Pisd-ps1,Dsn1
2155,Pisd-ps3,Cdca7
2156,Pisd-ps2,Slc25a23
2157,H2-K2,Mrps18b
2158,Etohd2,2410002F23Rik
2159,2610203C22Rik,Med19
2160,Zfp862,Kctd20
2161,E230029C05Rik,Smarcd3
2162,Btbd19,Psmd12
2163,Ythdf3,Med28
2164,Senp2,Napa
2165,Clk1,Polr3k
2166,0610039K10Rik,2010011I20Rik
2167,Dleu2,Tmem88
2168,B230206F22Rik,Ccdc43
2169,G530011O06Rik,Thap4
2170,A530088E08Rik,2610002M06Rik
2171,Mir702,Itpa
2172,A130049A11Rik,Upf3a
2173,Lrch4-sap25,Mrpl45
2174,Gm10790,Pmf1
2175,Fam120b,Ift27
2176,9130019P16Rik,Tbc1d7
2177,Snora81,Paics
2178,Mir3064,Ola1
2179,1810026B05Rik,2810432L12Rik
2180,Hmga2-ps1,Dynlrb1
2181,4933412E12Rik,Cand2
2182,2610020C07Rik,D16Ertd472e
2183,Mir5107,Rpl14
2184,B230378P21Rik,Nrarp
2185,Gm14023,Atp5e
2186,Gm15441,Ube2g1
2187,LOC100503496,Kbtbd4
2188,Gm20300,Psmd9
2189,Gm10336,Rnaseh2b
2190,,Nt5c3
2191,,2610301B20Rik
2192,,Sft2d3
2193,,Eef1g
2194,,Ctdnep1
2195,,Nudcd2
2196,,Zcrb1
2197,,Pfdn1
2198,,Glod4
2199,,Lsm1
2200,,Gatad1
2201,,Armc10
2202,,Mrpl55
2203,,Rrp15
2204,,Med29
2205,,Wdr85
2206,,Prpf18
2207,,Cinp
2208,,2810453I06Rik
2209,,Rpl39
2210,,Zfp422
2211,,Lass4
2212,,Ndufb8
2213,,2900010M23Rik
2214,,Myl12a
2215,,Slc25a19
2216,,Rabl5
2217,,Ikbkap
2218,,Mrps24
2219,,Dock7
2220,,Snrpd3
2221,,Daam1
2222,,Gtf3c6
2223,,Eif2s1
2224,,Hat1
2225,,Bbs2
2226,,Med4
2227,,Hmgn3
2228,,1110008F13Rik
2229,,Fundc2
2230,,Erp29
2231,,Wdr13
2232,,Dhdds
2233,,Rps20
2234,,Ssr3
2235,,Xab2
2236,,Map1lc3b
2237,,Klhl13
2238,,Ergic1
2239,,Poc5
2240,,Sf3a1
2241,,Abhd5
2242,,Eepd1
2243,,Calcoco1
2244,,Atic
2245,,Tmem167b
2246,,Ahi1
2247,,Tmed9
2248,,Atg12
2249,,Cog6
2250,,Gstcd
2251,,Narfl
2252,,Mrfap1
2253,,Mrpl49
2254,,Tctn3
2255,,Necap1
2256,,Akt1s1
2257,,Narf
2258,,Ube2r2
2259,,Nob1
2260,,Bend5
2261,,Mxra7
2262,,Tm7sf3
2263,,Dctn4
2264,,Tceb2
2265,,Cuta
2266,,Lsm3
2267,,Mrpl18
2268,,2610029G23Rik
2269,,2310003F16Rik
2270,,Msra
2271,,1810048J11Rik
2272,,Polr2g
2273,,Nsmce1
2274,,Iah1
2275,,Slc48a1
2276,,Prpsap1
2277,,Arpc5
2278,,Ilf2
2279,,Plxnd1
2280,,Dalrd3
2281,,Tprgl
2282,,Poldip2
2283,,Ppp2r2d
2284,,Nmral1
2285,,Pop5
2286,,Wdr83
2287,,2610027L16Rik
2288,,1700021F05Rik
2289,,S100a16
2290,,Paip2
2291,,Enoph1
2292,,Mrrf
2293,,Mri1
2294,,Dcxr
2295,,Ufm1
2296,,Ppa1
2297,,Ccdc80
2298,,Pef1
2299,,Cmc1
2300,,Sumf2
2301,,Fam32a
2302,,Wdr55
2303,,Rps27l
2304,,Mki67ip
2305,,Tubb6
2306,,Trabd
2307,,Mrpl19
2308,,Mrps11
2309,,Srsf6
2310,,Fam134c
2311,,1110004E09Rik
2312,,Coq5
2313,,Bambi
2314,,Trap1
2315,,2810002N01Rik
2316,,Cdc42ep3
2317,,Rpl22l1
2318,,Zfp706
2319,,N6amt2
2320,,2700060E02Rik
2321,,Mpnd
2322,,Nutf2
2323,,Ddx56
2324,,Slc25a39
2325,,3010026O09Rik
2326,,Psmd8
2327,,Pak1ip1
2328,,Dcakd
2329,,Arpc4
2330,,Yif1a
2331,,Ncbp2
2332,,Rchy1
2333,,Fam92a
2334,,Txndc17
2335,,9430023L20Rik
2336,,Yeats4
2337,,Gcsh
2338,,Gar1
2339,,D10Wsu102e
2340,,Bcas2
2341,,Sympk
2342,,Ndufb2
2343,,Ccdc34
2344,,Urm1
2345,,Ccdc56
2346,,Fam98b
2347,,Fam166a
2348,,Efcab2
2349,,Nhp2
2350,,5430437P03Rik
2351,,Cdipt
2352,,Agpat4
2353,,Mfsd10
2354,,Prps2
2355,,Ccdc88c
2356,,Mul1
2357,,Ndufa8
2358,,Ict1
2359,,Phf5a
2360,,Mrpl53
2361,,Nsmce2
2362,,Fam96b
2363,,Mphosph6
2364,,Mrpl13
2365,,2310036O22Rik
2366,,Mrps18a
2367,,Hbxip
2368,,Vps25
2369,,Pmvk
2370,,1110012L19Rik
2371,,Fbxw9
2372,,Agpat5
2373,,Mlh1
2374,,Hddc3
2375,,Ppp6r2
2376,,Gtf2f2
2377,,Rabl2
2378,,Dhrs1
2379,,Arl8a
2380,,Dus1l
2381,,Mrps18c
2382,,Taf11
2383,,2310061C15Rik
2384,,Ppil1
2385,,Mtmr14
2386,,Mrpl52
2387,,Ubac2
2388,,Disp1
2389,,Pygo2
2390,,Aspscr1
2391,,Pink1
2392,,1500011H22Rik
2393,,Chmp2a
2394,,Ngdn
2395,,Eif1b
2396,,1500001M20Rik
2397,,Med27
2398,,Haghl
2399,,Ssu72
2400,,Snx15
2401,,1500032L24Rik
2402,,Zdhhc3
2403,,Isca1
2404,,Ebna1bp2
2405,,Triap1
2406,,Oxa1l
2407,,Stoml1
2408,,Snrpd2
2409,,1810035L17Rik
2410,,Lzic
2411,,Manbal
2412,,1810031K17Rik
2413,,1810027O10Rik
2414,,Ptms
2415,,Cryzl1
2416,,Polr2d
2417,,Kctd5
2418,,Rfc3
2419,,Scnm1
2420,,Dcps
2421,,Pfdn5
2422,,Btbd9
2423,,Fam116b
2424,,Bap1
2425,,2310003L22Rik
2426,,Mrpl30
2427,,Esam
2428,,2310004N24Rik
2429,,Klhdc2
2430,,Fastkd3
2431,,2310035K24Rik
2432,,Ccdc115
2433,,Hddc2
2434,,Tecr
2435,,Rnaseh2a
2436,,Smyd3
2437,,Tm2d2
2438,,Zfp511
2439,,Mrpl12
2440,,Eif1ad
2441,,Snrpf
2442,,Zfp219
2443,,2010305A19Rik
2444,,Obfc2b
2445,,Polr2i
2446,,Cdc16
2447,,Nt5dc2
2448,,Lysmd2
2449,,Meaf6
2450,,5-Mar
2451,,Znhit1
2452,,Sfxn1
2453,,Mllt3
2454,,Vps36
2455,,Fam162a
2456,,Gorasp2
2457,,Cd2bp2
2458,,Fuz
2459,,2510012J08Rik
2460,,Hdac8
2461,,Tet1
2462,,Tecpr1
2463,,Ttc9c
2464,,Rufy2
2465,,Cenpl
2466,,Wdr77
2467,,Glipr2
2468,,Btf3l4
2469,,5730437N04Rik
2470,,Gfod2
2471,,Pak4
2472,,Ecd
2473,,Sugp1
2474,,Nup205
2475,,Rufy3
2476,,3200002M19Rik
2477,,Wdr96
2478,,Ints10
2479,,Psd3
2480,,Spef1
2481,,Phf6
2482,,Naa40
2483,,Pcgf6
2484,,Arhgap19
2485,,Enkur
2486,,Rcbtb1
2487,,Tmem80
2488,,0610010F05Rik
2489,,Ubiad1
2490,,Csnk1d
2491,,Mus81
2492,,Stk11ip
2493,,Lrwd1
2494,,Coasy
2495,,1300018J18Rik
2496,,C2cd2l
2497,,Raver1
2498,,Tysnd1
2499,,8-Mar
2500,,Trnau1ap
2501,,Ranbp3
2502,,Dcaf7
2503,,2310003H01Rik
2504,,Ppapdc1b
2505,,Rpap3
2506,,2310067B10Rik
2507,,Lass5
2508,,2400003C14Rik
2509,,Cpsf3l
2510,,Cdca4
2511,,Nkiras2
2512,,Ddx54
2513,,Ercc8
2514,,Cnn3
2515,,Fbxo22
2516,,Trmu
2517,,Cotl1
2518,,Sulf2
2519,,Tmub2
2520,,Mettl10
2521,,Jmjd8
2522,,Zbed3
2523,,Ccdc123
2524,,Adpgk
2525,,Slc37a3
2526,,Frmd6
2527,,Rfc5
2528,,2610020H08Rik
2529,,Pgm2
2530,,Supt7l
2531,,Oraov1
2532,,Rusc1
2533,,Xpo5
2534,,Wdr89
2535,,2210016L21Rik
2536,,Fam192a
2537,,Shmt2
2538,,Htatsf1
2539,,Acbd6
2540,,Ppme1
2541,,Pdzd11
2542,,Tdrkh
2543,,Dis3
2544,,Tmx1
2545,,Tdp1
2546,,Tmem48
2547,,Ttc19
2548,,Mon1a
2549,,Cxx1c
2550,,2900006K08Rik
2551,,Zdhhc4
2552,,Hspb11
2553,,Top1mt
2554,,Prkrir
2555,,Tmem138
2556,,Glrx5
2557,,Fut11
2558,,Pmpcb
2559,,3110003A17Rik
2560,,Prkcdbp
2561,,Tm7sf2
2562,,3110082I17Rik
2563,,1600027N09Rik
2564,,Dcbld2
2565,,Rasip1
2566,,1700066M21Rik
2567,,Thoc3
2568,,Bloc1s2
2569,,Glipr1
2570,,Fam125a
2571,,Haus7
2572,,Cby1
2573,,Tmtc4
2574,,Eif3k
2575,,Rap2b
2576,,Pex26
2577,,Ttc21a
2578,,Pi4k2b
2579,,Npl
2580,,Tjap1
2581,,Pop7
2582,,Gga2
2583,,Parn
2584,,Cbx6
2585,,Ampd2
2586,,Lonp1
2587,,Robo4
2588,,F13a1
2589,,Slc35f5
2590,,Ftsjd2
2591,,Josd1
2592,,Katnb1
2593,,Rnd3
2594,,Elp3
2595,,Gtf2e1
2596,,2810403A07Rik
2597,,Cep97
2598,,Xpo6
2599,,Mterfd3
2600,,Usp20
2601,,Chic2
2602,,Cxxc1
2603,,Hnrnpr
2604,,4632415K11Rik
2605,,Gle1
2606,,Polr3c
2607,,Zfp558
2608,,Cep72
2609,,4933427D14Rik
2610,,Gorasp1
2611,,8430419L09Rik
2612,,Sppl3
2613,,Abcb8
2614,,4930444A02Rik
2615,,5730419I09Rik
2616,,Klc4
2617,,Lmbr1l
2618,,Sepn1
2619,,Rrp7a
2620,,Qtrtd1
2621,,Sf3a3
2622,,Zbtb49
2623,,Pelp1
2624,,Mrpl32
2625,,Ndufs7
2626,,Phpt1
2627,,Ccdc101
2628,,Chmp4b
2629,,Med25
2630,,2810422J05Rik
2631,,1700029F09Rik
2632,,Pih1d1
2633,,Mff
2634,,9130401M01Rik
2635,,Slx1b
2636,,Them4
2637,,4930402H24Rik
2638,,Adal
2639,,Ttpal
2640,,Gpsm2
2641,,Snrnp35
2642,,Pwp2
2643,,Tsen54
2644,,Kti12
2645,,Rab1b
2646,,2310003C23Rik
2647,,Lhpp
2648,,Glt8d1
2649,,Ip6k2
2650,,Commd9
2651,,Gpr172b
2652,,Tmem101
2653,,Dapk1
2654,,Snx7
2655,,Fam65b
2656,,Srxn1
2657,,Eprs
2658,,Cluap1
2659,,Klhdc10
2660,,2510006D16Rik
2661,,Rpl18a
2662,,Bri3bp
2663,,Fam54b
2664,,Hyls1
2665,,Rps9
2666,,Dcun1d5
2667,,Raf1
2668,,Cyb5r3
2669,,Arfip2
2670,,Bcl7a
2671,,Cnrip1
2672,,5930434B04Rik
2673,,Hnrnpa0
2674,,Tbcd
2675,,Hgsnat
2676,,Wdr82
2677,,Fam115a
2678,,H2afv
2679,,Apex2
2680,,Smpd4
2681,,Snapc3
2682,,Mmab
2683,,Mrps5
2684,,Cdkn2aipnl
2685,,Trim35
2686,,Sla2
2687,,Lrrc42
2688,,Lbh
2689,,Mccc2
2690,,Mospd3
2691,,Zfp687
2692,,Sf3b2
2693,,Mrpl9
2694,,Nol3
2695,,Armc9
2696,,Aacs
2697,,Wrnip1
2698,,Polr3h
2699,,Saal1
2700,,Dync1h1
2701,,Abcg3
2702,,2900092E17Rik
2703,,Setd8
2704,,Tada1
2705,,Cdk5rap3
2706,,BC003266
2707,,Tusc3
2708,,Rilpl2
2709,,Sesn3
2710,,Pofut2
2711,,Vps16
2712,,Rnf34
2713,,Nbea
2714,,Gys1
2715,,Ifitm2
2716,,Mesdc1
2717,,Dtx3
2718,,Polh
2719,,Gatsl2
2720,,Rnf114
2721,,Id4
2722,,Glis2
2723,,Akap12
2724,,Slc22a8
2725,,Msr1
2726,,Tsta3
2727,,Lamtor2
2728,,Cstf2t
2729,,Ngrn
2730,,Wdr6
2731,,Smarcd1
2732,,Cenpq
2733,,Ppp1ca
2734,,Tnk1
2735,,Nudt19
2736,,8-Sep
2737,,Snurf
2738,,Srebf2
2739,,E2f6
2740,,Dgcr8
2741,,Loxl2
2742,,Ppp1r16a
2743,,Jmjd6
2744,,Spred2
2745,,Ubqln4
2746,,Eif4h
2747,,Klf7
2748,,Snf8
2749,,Wbscr16
2750,,Prcc
2751,,Pcdhgb1
2752,,Pcdhgb2
2753,,Pcdhgb4
2754,,Pcdhgb5
2755,,Pcdhgb6
2756,,Pcdhgb7
2757,,Pcdhgb8
2758,,Pcdhgc3
2759,,Pcdhgc4
2760,,Pcdhgc5
2761,,Pcdhga2
2762,,Pcdhga3
2763,,Pcdhga4
2764,,Pcdhga5
2765,,Pcdhga6
2766,,Pcdhga7
2767,,Pcdhga8
2768,,Pcdhga9
2769,,Pcdhga10
2770,,Pcdhga11
2771,,Pcdhga12
2772,,Pard3
2773,,Agpat3
2774,,Nup62
2775,,Rheb
2776,,Fam126a
2777,,Setbp1
2778,,Echs1
2779,,Mrpl36
2780,,Mrpl43
2781,,Nans
2782,,Cdk20
2783,,Ric8
2784,,Magee1
2785,,Erc1
2786,,Egln1
2787,,Egln2
2788,,Lyve1
2789,,Rpl31
2790,,Hnrnpa3
2791,,Dhcr24
2792,,Ttyh2
2793,,Tulp4
2794,,Gpr124
2795,,Def8
2796,,Pip4k2b
2797,,Afg3l1
2798,,Fgfrl1
2799,,Mta1
2800,,Slc19a2
2801,,Ube3b
2802,,1110038F14Rik
2803,,Bag6
2804,,Fubp1
2805,,Klf16
2806,,Igsf8
2807,,Srgap3
2808,,Zfp358
2809,,Eri3
2810,,Psmd5
2811,,Ppap2b
2812,,Ube2n
2813,,Aco2
2814,,Eif3h
2815,,D17Wsu104e
2816,,Zcchc14
2817,,Vps4a
2818,,Colec12
2819,,Elovl6
2820,,Acaa1a
2821,,Pabpc4
2822,,Idh3b
2823,,Anp32b
2824,,Cstf2
2825,,Pygl
2826,,Mfn2
2827,,Sertad3
2828,,Xpnpep1
2829,,Zfp704
2830,,Rac3
2831,,Rfxap
2832,,Glcci1
2833,,Apcdd1
2834,,Ing4
2835,,Asb6
2836,,Dhx30
2837,,Mapre3
2838,,Acaca
2839,,Ndufv1
2840,,Pdk2
2841,,Slc25a3
2842,,Osgep
2843,,Rbm42
2844,,Tmem97
2845,,Gmppa
2846,,2310037I24Rik
2847,,Fam108c
2848,,St13
2849,,Kptn
2850,,Antxr2
2851,,Prmt3
2852,,Ccdc71
2853,,Fam98a
2854,,Fam118a
2855,,Tubgcp2
2856,,Gpn1
2857,,Ncapg2
2858,,Dnttip1
2859,,Fbxo31
2860,,Cyfip2
2861,,Adck4
2862,,Memo1
2863,,Stard4
2864,,Fam131a
2865,,Pigt
2866,,Ptges2
2867,,Smc4
2868,,Qars
2869,,Arhgdia
2870,,4833439L19Rik
2871,,Nol12
2872,,Gtf2f1
2873,,Dpp3
2874,,Tmem132a
2875,,Cops8
2876,,Lrrc59
2877,,Sh3bp4
2878,,AI597479
2879,,Phlpp1
2880,,Atp6v1h
2881,,Gltscr2
2882,,Rdh10
2883,,Ubac1
2884,,Cdc123
2885,,Mmadhc
2886,,Tm9sf4
2887,,Snapin
2888,,Fam63a
2889,,Kdm1a
2890,,Adprhl2
2891,,Gpn2
2892,,Stx12
2893,,Lrrc8c
2894,,Psph
2895,,Gpr125
2896,,Eif3b
2897,,Itfg2
2898,,Creld1
2899,,Pot1a
2900,,Tada3
2901,,Isy1
2902,,Naa38
2903,,Dhx32
2904,,Vrk3
2905,,Psip1
2906,,Ptov1
2907,,Kdelr1
2908,,Rrp8
2909,,Unc45a
2910,,Sf3b3
2911,,AA960436
2912,,Dohh
2913,,Taf5l
2914,,Zdhhc7
2915,,Snapc2
2916,,Cog4
2917,,Imp3
2918,,Ano10
2919,,Alg9
2920,,Cd276
2921,,Tcta
2922,,Ftsj1
2923,,Pan2
2924,,Pwp1
2925,,1810008A18Rik
2926,,Nup107
2927,,Tbrg4
2928,,Mbtd1
2929,,Fbxw11
2930,,Tmed4
2931,,Tubg1
2932,,Nt5m
2933,,Pelo
2934,,Ddx41
2935,,Ankrd32
2936,,Chmp7
2937,,Adk
2938,,Dnajc9
2939,,Farp1
2940,,Slc38a1
2941,,Scrib
2942,,Sgsm3
2943,,Mtbp
2944,,Pppde2
2945,,Psmd2
2946,,Stk38
2947,,Pkdcc
2948,,Ift140
2949,,Prpf19
2950,,Slc39a3
2951,,Psmg2
2952,,Wdr74
2953,,Ciapin1
2954,,Otub1
2955,,Yars
2956,,Elovl5
2957,,Slc26a6
2958,,Il17rd
2959,,Fdps
2960,,Tymp
2961,,Mical1
2962,,1700088E04Rik
2963,,Spg21
2964,,Ubfd1
2965,,Usp39
2966,,Med10
2967,,Atp5o
2968,,D11Wsu99e
2969,,Tomm70a
2970,,D10Jhu81e
2971,,Praf2
2972,,Ppp1r3f
2973,,Mvd
2974,,Socs7
2975,,Eif4a3
2976,,Med9
2977,,Shkbp1
2978,,Lrrc4
2979,,Gnb5
2980,,Ssx2ip
2981,,Ppp2r4
2982,,Ell2
2983,,Cspg4
2984,,Csda
2985,,Slc39a6
2986,,Ogt
2987,,Fus
2988,,Agap3
2989,,Rab40c
2990,,Plac8
2991,,Cytip
2992,,Nol6
2993,,Galnt2
2994,,Cdc26
2995,,Sh3glb2
2996,,Vasn
2997,,Stard7
2998,,Arl6ip4
2999,,Commd1
3000,,Snap47
3001,,Tbc1d10b
3002,,Ccdc21
3003,,Bre
3004,,Acat1
3005,,Slc25a38
3006,,Metrnl
3007,,Mtss1
3008,,Hnrpll
3009,,Cbara1
3010,,Wrap53
3011,,Aarsd1
3012,,Zfp410
3013,,Ube2e2
3014,,Nrbp2
3015,,Ankrd54
3016,,Dus3l
3017,,Mettl13
3018,,BC005624
3019,,Exosc2
3020,,Ncoa5
3021,,Apoa1bp
3022,,Msto1
3023,,Tmem150a
3024,,Elmod3
3025,,Smyd5
3026,,Blvrb
3027,,Ppil2
3028,,Hip1r
3029,,Ugt1a6a
3030,,Pex16
3031,,Pitrm1
3032,,Eif3l
3033,,Chst10
3034,,Aif1l
3035,,Pomt1
3036,,Gtpbp6
3037,,Prc1
3038,,Abhd11
3039,,Yipf3
3040,,Rnf185
3041,,Fam100a
3042,,Btbd2
3043,,Txndc5
3044,,Eif2b1
3045,,Pla2g4b
3046,,Eif3m
3047,,Pqlc2
3048,,Athl1
3049,,Bag2
3050,,Tbl3
3051,,Prmt7
3052,,Ubl4
3053,,Chtf8
3054,,Ube2d1
3055,,Fam108a
3056,,D10Wsu52e
3057,,Atpaf2
3058,,Nle1
3059,,Nr1d1
3060,,Eif2b2
3061,,BC022687
3062,,Oxnad1
3063,,Lrrc14
3064,,Pim3
3065,,Klhl22
3066,,Rfc4
3067,,2-Mar
3068,,Epb4.1l5
3069,,5430435G22Rik
3070,,Rabif
3071,,Trub2
3072,,Rabepk
3073,,Atg13
3074,,Tmem189
3075,,Ahcyl1
3076,,Ldlrap1
3077,,Tardbp
3078,,9430015G10Rik
3079,,Zfp932
3080,,Fbxo21
3081,,Mrps35
3082,,Ctu1
3083,,Pgap2
3084,,Thumpd1
3085,,Tmem161a
3086,,Zfp330
3087,,Klhdc4
3088,,Chmp1a
3089,,Ppan
3090,,Lrrc49
3091,,Eif4b
3092,,Usp11
3093,,Polr2h
3094,,Tinf2
3095,,Nup43
3096,,Arfgap1
3097,,Ehmt2
3098,,Cables2
3099,,Rell1
3100,,Mgat4b
3101,,Fntb
3102,,Alg3
3103,,Wipi1
3104,,Fanci
3105,,Ap1ar
3106,,L3mbtl2
