,Genes,direction,valence
1483,,DOWN,-0.9438868352974473
1484,,UP,1.322625858020728
1485,,UP,0.7082493555183186
1486,,UP,0.6913608789017809
1487,,UP,1.5250712398266173
1488,,UP,1.2562131897199835
1489,,UP,2.958696977631228
1490,,DOWN,-1.870866621820733
1491,,DOWN,-0.5947879523918731
1492,,DOWN,-0.6110303743989989
1493,,DOWN,-0.4545626150173991
1494,,DOWN,-0.3512185180709377
1495,,DOWN,-1.2760668123171555
1496,,DOWN,-1.1157319170728577
1497,,DOWN,-0.7960290298972207
1498,,DOWN,-0.8922680497916546
1499,,UP,2.475245892267321
1500,,DOWN,-1.27400324809264
1501,,DOWN,-0.3018638775340764
1502,,DOWN,-0.6219524646741466
1503,,DOWN,-0.384320352241095
1504,,UP,0.654608952057594
1505,,UP,0.7205060214031958
1506,,UP,0.6670551204715206
1507,,DOWN,-1.4807734468642666
1508,,DOWN,-1.5417525372934384
1509,,DOWN,-1.5501426255517887
1510,,DOWN,-1.2487014850746379
1511,,UP,0.9499986782922564
1512,,DOWN,-0.467053662664847
1513,,DOWN,-0.6537538150501708
1514,,DOWN,-0.7218532004408755
1515,,DOWN,-0.729536219054899
1516,,UP,0.5062814694258116
1517,,DOWN,-0.4293062407201389
1518,,UP,1.2989753001029423
1519,,UP,0.9635198431886227
1520,,DOWN,-1.477328966732672
1521,,DOWN,-1.4375091173342027
1522,,DOWN,-1.6272518933282505
1523,,DOWN,-1.4564757340178105
1524,,DOWN,-0.9094645801574754
1525,,UP,0.8071825697734963
1526,,DOWN,-0.7989974526106058
1527,,UP,0.6338783037209872
1528,,UP,0.7161953092865705
1529,,UP,0.7469094535354702
1530,,UP,0.868738958763346
1531,,DOWN,-1.5554835556487496
1532,,UP,2.272883404699453
1533,,UP,1.0362504527200063
1534,,UP,0.5976848512620094
1535,,UP,1.4842504798750935
1536,,UP,1.1770225895867579
1537,,UP,2.901036260770946
1538,,DOWN,-0.7170354123927102
1539,,UP,1.0465551165915137
1540,,UP,1.0710158043865785
1541,,UP,1.0068180485833182
1542,,DOWN,-0.656296910715272
1543,,DOWN,-1.4408852740851923
1544,,DOWN,-1.3035392102228058
1545,,DOWN,-1.4986997920192036
1546,,DOWN,-1.2730457498000596
1547,,DOWN,-1.402406761830682
1548,,DOWN,-1.4890634738132664
1549,,DOWN,-1.1347818680112598
1550,,UP,0.9957641309337882
1551,,UP,0.8722419597078589
1552,,DOWN,-0.8546491949458986
1553,,DOWN,-0.6568116324994124
1554,,DOWN,-0.7091790725011456
1555,,DOWN,-0.6291044714142815
1556,,UP,0.44283473194931566
1557,,DOWN,-0.5377513312386669
1558,,UP,1.1604277528115992
1559,,UP,1.2597711975636408
1560,,DOWN,-1.0380791401663205
1561,,UP,2.3788775043354717
1562,,UP,1.4624029473697662
1563,,DOWN,-0.8394350752001444
1564,,DOWN,-0.5505454465922125
1565,,DOWN,-0.6528119967506512
1566,,DOWN,-0.7654047208347187
1567,,DOWN,-0.4977489498964634
1568,,DOWN,-0.7632305641242939
1569,,DOWN,-0.8408499639185705
1570,,UP,0.32447798522365584
1571,,DOWN,-1.0949948556620477
1572,,UP,1.2917173909782391
1573,,DOWN,-0.7716781616983581
1574,,UP,1.005721833906588
1575,,UP,0.9032576712323706
1576,,UP,0.9709366296817009
1577,,DOWN,-0.6069008568992359
1578,,DOWN,-0.7098855867873478
1579,,UP,1.0856356978593646
1580,,UP,1.0708616527166617
1581,,UP,1.1144337995403326
1582,,UP,1.0304341761893958
1583,,UP,1.1377599234400069
1584,,UP,0.7170309954475665
1585,,UP,1.4555146109528616
1586,,UP,2.0443877348380877
1587,,DOWN,-1.799777192086767
1588,,DOWN,-1.6244607637944555
1589,,UP,1.574081951767933
1590,,DOWN,-0.6489958416635555
1591,,DOWN,-0.829357622169278
1592,,DOWN,-0.7202151078136431
1593,,DOWN,-1.3613496788950405
1594,,DOWN,-1.4452342193417083
1595,,UP,1.5008525101364867
1596,,DOWN,-1.0037958139494993
1597,,UP,0.5411077116882514
1598,,DOWN,-1.8665283041861942
1599,,DOWN,-2.022880498465293
1600,,DOWN,-1.9385038274769921
1601,,DOWN,-2.2113990329359043
1602,,DOWN,-0.7147764995932212
1603,,DOWN,-0.6166387243118818
1604,,DOWN,-1.0340067387270513
1605,,DOWN,-1.0055173036870777
1606,,UP,0.7199303463660799
1607,,UP,0.6225850095614304
1608,,UP,0.9965402162119611
1609,,UP,1.4846772915337105
1610,,DOWN,-1.0173276071371453
1611,,DOWN,-0.910597205377164
1612,,UP,1.2932446211594693
1613,,UP,0.4074209399698841
1614,,DOWN,-1.023857219400094
1615,,UP,1.1243383265921663
1616,,UP,0.9738116312332977
1617,,DOWN,-0.7339450076268673
1618,,DOWN,-0.815739974716417
1619,,UP,1.0872938955493245
1620,,UP,0.9261176148910188
1621,,UP,0.7742578707367459
1622,,DOWN,-0.7478145072456144
1623,,DOWN,-0.8619689077577697
1624,,DOWN,-0.7305061767171904
1625,,DOWN,-1.0052395470058364
1626,,DOWN,-0.7670172294618056
1627,,UP,2.504948832005392
1628,,DOWN,-0.840227334926046
1629,,DOWN,-1.5905929039010085
1630,,DOWN,-1.6600707259901388
1631,,DOWN,-0.5805285667272069
1632,,DOWN,-0.6313399118569062
1633,,DOWN,-0.9407749814410158
1634,,DOWN,-0.7281376278810762
1635,,DOWN,-0.990208868543961
1636,,UP,1.8472002689869849
1637,,DOWN,-0.726034948144704
1638,,DOWN,-0.6865278798503871
1639,,DOWN,-0.5116138751210453
1640,,DOWN,-0.8804309858590788
1641,,DOWN,-1.1487474741732417
