gene,direction,valence
Hspb1,UP,3.1000273836895844
Zfp595,UP,3.0938915916483785
2610528A11Rik,UP,3.0924551899129007
Naip2,UP,3.0878135092222605
Tubgcp5,UP,3.08739137543805
Tmem63a,UP,3.0824649332778
Itgb3,UP,3.0783361311706994
Iffo1,UP,3.077476924218989
Ctsh,UP,3.0772957257791815
Spint1,UP,3.0732676098867926
Ncf1,UP,3.073084050453109
Commd8,UP,3.0711433606633034
Gm3604,UP,3.068934581741672
Itgb5,UP,3.0680357795199997
C1rl,UP,3.0656069599322593
Glul,UP,3.062487936286923
Trim34a,UP,3.0588122714877684
Paqr5,UP,3.0579080929269282
Oma1,UP,3.055671461263115
Mgat4a,UP,3.0511480897976955
Lpar6,UP,3.05050133282589
Qrich2,UP,3.048149900656852
Slamf8,UP,3.046577198074009
Asgr2,UP,3.043741699262196
BC049352,UP,3.040542797272165
2210408F21Rik,UP,3.0385710180862646
Vipr1,UP,3.03572524248637
Hhex,UP,3.0347283164172585
Sat1,UP,3.033785723496608
Plk3,UP,3.033401149427487
Adrb1,UP,3.032934605028473
Nlrp1a,UP,3.0289909312085364
Liph,UP,3.0258932653912956
Nfkbiz,UP,3.0241578827093476
Dock8,UP,3.0235539000708296
Pld1,UP,3.020530719368413
Hps3,UP,3.016708633282363
Plxdc1,UP,3.0068685782596525
Plek2,UP,2.9980723046552447
Pik3r5,UP,2.996217747032227
Enpp4,UP,2.995087870463694
Ssh2,UP,2.993283041495267
Obfc2a,UP,2.9921074826306575
Gp9,UP,2.9918252277861024
Arhgap27,UP,2.9871237680619465
Rhob,UP,2.9848025872642574
Dusp6,UP,2.978624028249378
A530088E08Rik,UP,2.9742926658328184
Inpp5d,UP,2.9676915080579773
C1qa,UP,2.9651518294021106
Lpar5,UP,2.9650470796882975
Nat2,UP,2.9641480202926878
Tlr5,UP,2.9596822618858885
Entpd1,UP,2.9594225284864497
Fam78a,UP,2.957535809173907
Zfp52,UP,2.95050563463524
Clec4a3,UP,2.950413008974636
Trf,UP,2.949075576408244
Il17ra,UP,2.947700858255258
Pycard,UP,2.94006184721702
Rassf5,UP,2.938111154843068
Fez2,UP,2.937700150691637
Ankrd57,UP,2.927176309190597
Glrp1,UP,2.9269603076191144
Slc46a1,UP,2.9260815067236754
Rinl,UP,2.923505764787248
Ildr1,UP,2.9173740686624625
Cd209a,UP,2.9110035416561573
Lyl1,UP,2.908598610880245
Ccl12,UP,2.903414182281342
H2-K2,UP,2.8984117093223736
Depdc7,UP,2.8979722741335436
Prkcq,UP,2.8965563517521677
Slc5a5,UP,2.8944031497497593
Frk,UP,2.8906169404697213
Clic5,UP,2.8882810848214064
Gimap9,UP,2.8857307443868256
Rtn4rl1,UP,2.881700563702697
Zfp97,UP,2.879607804577559
Slc28a3,UP,2.879034165674506
Lgmn,UP,2.876641401869071
Itgb2,UP,2.8733204015366187
Pde3b,UP,2.8697901399506667
Cd37,UP,2.8636747845156805
Gm4951,UP,2.8620979912174875
Btbd19,UP,2.86103034404567
Zfp658,UP,2.8605653303204446
Tppp,UP,2.8582631209146774
Tap2,UP,2.8571159096647207
Abhd12,UP,2.8567168270439804
Tmcc3,UP,2.8514511601881836
Tpst2,UP,2.8501106043603275
Inpp4b,UP,2.849304680018187
Cd84,UP,2.848435170638199
Slc10a3,UP,2.8438996296741808
Arhgap5,UP,2.842560566332057
Unc93b1,UP,2.837716204964176
Cfh,UP,2.837263582219036
