,pvals,direction,sig,logdiff
Fam54b,0.041893121588224405,DOWN,2.3321962322738576,-0.8042204743867551
Bri3bp,0.04239431619803135,DOWN,2.3252169169725208,-0.795845089131855
Usp42,0.01642585700719967,UP,-2.878565285609043,0.7678647575360241
2510006D16Rik,0.016211135679576445,DOWN,2.8862447366170816,-1.080495754175434
Cog2,0.007630966993207472,DOWN,3.32898116208019,-1.0245183025213147
Klhdc10,0.04190095941296841,DOWN,2.332086462612947,-0.7195640752207652
Cluap1,0.030970812045301197,DOWN,2.508902201288103,-0.7918576374875337
Fam81a,0.030375877983073424,DOWN,2.520220064183302,-1.1155027709944074
Ddrgk1,0.004811117305604845,DOWN,3.6045887710312834,-1.7433573332389183
2310014L17Rik,0.021897039352494308,UP,-2.7109721649795127,1.5146132978733575
Mettl15,0.01820455442888983,DOWN,2.8185939915497786,-1.1394235575484253
Cyb5r3,0.0022851730318468964,DOWN,4.060378119527824,-1.663937685049915
Ttc8,0.01652416457743835,DOWN,2.875083136080261,-1.2103758139270662
Nop14,0.008003243441854718,UP,-3.300758173591331,0.5876220939713231
Ndufs7,0.008139487437894445,DOWN,3.2907656700759738,-1.4974147291500912
Phpt1,0.03469749833314093,DOWN,2.4425461913801048,-0.6092237916276946
1700013F07Rik,0.035425241871336964,DOWN,2.4304117056917454,-1.2470613660495977
Etnk1,0.015535290609372922,UP,-2.911105380638353,0.3267332530565438
Qtrtd1,0.025306345004620964,UP,-2.626670575532014,0.6766306582948562
Iqca,0.049984320681568724,DOWN,2.228323843133403,-1.637993428720712
Kbtbd11,7.293812102749113e-05,DOWN,6.455794927094468,-2.3589432527770615
4930455F23Rik,0.0030467548250487425,DOWN,3.8824505349636786,-0.8845868490264744
4930417G10Rik,0.024838708108715805,DOWN,2.637538071207573,-1.1757801574142974
Ccdc146,0.046425283757712536,DOWN,2.2718388942354357,-0.9672799165814193
Akap13,0.0002514473359224426,UP,-5.5287757167434135,1.1157534480904183
Vmp1,0.015660450278596798,UP,-2.9064199075447488,1.4661982616322575
Arl5b,0.005840494189115627,UP,-3.4882066475142786,1.071049912972202
6530401N04Rik,0.004357272085240583,DOWN,3.6643992828012024,-1.3750258948211445
Tmem98,0.0076021094929489795,DOWN,3.3312278009148435,-1.3228999932912355
Gpr165,0.015794930848839803,DOWN,2.901427542454915,-0.9971179931635423
Snrnp35,0.013218259591997216,UP,-3.0055259691196854,1.249658997911096
Ttpal,0.009809431963592173,UP,-3.180601097103054,1.2525762997270884
Pcgf5,0.02653629424265865,UP,-2.599015336397222,0.8013982266789839
Cant1,0.01491058885731602,DOWN,2.935078257700186,-1.150417871140857
Ms4a4c,0.035346368743618614,UP,-2.431714946676144,4.5868123651206565
Urb1,0.03016572839831979,UP,-2.524270358050383,0.8517240196850816
Epsti1,0.00462324725510608,UP,-3.6286046563836734,0.7889005956797747
Med25,0.01440484118071648,DOWN,2.9552439713110608,-1.1968353654024873
Chmp4b,0.0002305196920501808,UP,-5.591104168760231,1.1695996346908601
Zbtb4,0.0037545241616915464,DOWN,3.7547291747871943,-0.6986456935449388
Rsph9,0.01915658071880869,DOWN,2.788879014869882,-1.3829215180353318
2810422J05Rik,0.005064533679925047,DOWN,3.573693525558827,-1.2956582047192107
