,pvals,direction,sig,logdiff
Nop14,0.02593856190741476,UP,-2.3808643573448722,0.3688112508083724
Arhgap24,0.028915998604298106,DOWN,2.330418007919561,-0.6872179259914711
Fpgt,0.024829853240250072,DOWN,2.4010217615663847,-0.5423770246023283
Etnk1,0.04636441240264701,UP,-2.1055716778434155,0.266539989423322
Zc3h14,0.012289660758192447,DOWN,2.7171860733177526,-0.32218379825355226
Qtrtd1,0.015819930440283358,UP,-2.605329886246809,0.7190224923616267
Iqca,0.022575253644768912,DOWN,2.444714062322341,-1.6956492414567212
Kbtbd11,7.101052215135613e-06,DOWN,5.767542518444672,-1.779547300565324
Rnf121,0.010434639275880184,DOWN,2.788813274254226,-1.0722095116162402
Ccdc146,0.031059466557374696,DOWN,2.2969740209738716,-0.6999183438274572
Akap13,0.0009520814950922532,UP,-3.787525803646013,0.8033811824431555
1700026D08Rik,0.012554399443978497,DOWN,2.707808892766912,-1.1610961685693628
Vmp1,0.00580149913778554,UP,-3.0410959643141355,0.8708606052078632
Gpr165,4.024826666871771e-05,DOWN,5.059524037976825,-1.0943172624440478
Ttpal,0.0005983003518980821,UP,-3.9751762375483395,0.9414336217801301
Pcgf5,0.04078579259334905,UP,-2.167611688316832,0.607156913106717
Ms4a4c,0.004933620272359872,UP,-3.1096339020961423,3.121533675301776
Urb1,0.0013688800980824788,UP,-3.640027158170428,0.8448621848698072
Chmp4b,5.917197957026016e-06,UP,-5.843022039749397,1.1972907916132354
Zbtb4,0.0438450211281081,DOWN,2.1327074635860033,-0.37874452780691154
2810422J05Rik,0.006273000730009124,DOWN,3.0078905444269766,-0.7820210164510203
1700029F09Rik,0.005003423061750373,UP,-3.1037082359836687,0.7215208025714381
Slc10a6,0.0002566209478102243,UP,-4.3152612295681605,4.213204048899581
Bcl2l12,0.04080194676503699,DOWN,2.1674212586276735,-0.8314833412813822
Mff,0.04074560328504956,DOWN,2.168085746334862,-0.9332675998669655
Chst15,0.001024337191441013,DOWN,3.757877444100809,-0.9770999068921306
Nup210l,0.008681768151871373,UP,-2.868592258567924,1.3851966442691226
Ctns,0.002384331121359188,DOWN,3.4126402175322545,-0.7107722477507115
Cstf2t,0.005427328978999555,DOWN,3.0693459408362,-0.7479651082229598
Gimap3,0.04298238936976539,DOWN,2.142321634435003,-1.519694124746088
Tfec,0.017200581217352514,UP,-2.567880561488358,1.2075469925393016
Msr1,0.0003105629499199266,UP,-4.238735780334593,2.253857272415456
Slc22a8,0.00906603948811262,DOWN,2.849869671428875,-1.4847502123118905
Ren2,0.0005703217297481168,DOWN,3.99446866637309,-3.9901338073415182
Ren1,0.0005703217297481157,DOWN,3.9944686663730904,-3.990133807341518
Akap12,2.278937507369555e-13,UP,-15.002762212922493,4.764544319030504
Glis2,0.00588977680410204,DOWN,3.034686537294484,-1.558877579921143
Il23a,0.04433613330885521,UP,-2.1273097267054446,2.4542295593819534
Sytl1,0.009216529674782476,UP,-2.842742484750465,2.0673329069342894
Ngrn,0.017591046360916723,DOWN,2.5577994183603003,-0.5517614893609732
Siglece,0.021756943811576664,UP,-2.4615772664343556,0.4577663799951866
Trim23,0.007311618447613883,DOWN,2.9424679806721072,-0.5555718606849297
