,gene,direction,valence
2495,Gm14023,UP,2.6420953144856814
2427,Gcnt1,UP,2.6406009600557825
405,Adrb2,UP,2.6371561863186286
1454,Creg1,UP,2.6281510586901975
3456,Mapk14,UP,2.622513117915937
1155,Cd68,UP,2.6220712066988194
3909,Nek7,UP,2.620058276059098
1023,Capn3,UP,2.6171029937883485
2683,H2-K1,UP,2.6087450499293703
3952,Nfkbiz,UP,2.6028009430308057
5379,Sgk1,UP,2.598987070763299
2131,Fam105a,UP,2.598335537550467
3864,Ncf2,UP,2.5853324796406776
6065,Tifab,UP,2.5818062920085136
6901,Zfp691,UP,2.5787228232566193
1024,Capn3,UP,2.5666225550525326
2442,Gfm2,UP,2.5588674684345616
5578,Slco2b1,UP,2.558830968668328
697,Asah1,UP,2.5571944785667187
992,Cables1,UP,2.547165970219245
4162,P2ry13,UP,2.537696840347723
2965,Il1rl2,UP,2.5278344937285646
3190,Lair1,UP,2.5250903062751107
4622,Ppt1,UP,2.5249743226250514
5378,Sgk1,UP,2.5217699719876556
3186,Lactb2,UP,2.5131521067225133
3187,Lag3,UP,2.5117137933216758
342,Acer3,UP,2.5112418534545875
5782,St3gal6,UP,2.508264715471108
955,Btg2,UP,2.505275587390631
1627,Daglb,UP,2.504948832005392
4578,Ppcdc,UP,2.4870198221642594
498,Alox5ap,UP,2.4866407273012032
3800,Mylip,UP,2.475786266570649
1499,Cst3,UP,2.475245892267321
1158,Cd74,UP,2.469716688261967
5073,Rnf130,UP,2.4682037964384347
2961,Il1a,UP,2.467421366707804
2721,Hck,UP,2.461904890613712
3189,Lair1,UP,2.4506250009907258
5660,Snx5,UP,2.4462489418027733
2747,Herpud1,UP,2.4328973627687094
2914,Ifi27l1,UP,2.43132055255595
2273,Fez2,UP,2.4275575500099213
3949,Nfkbid,UP,2.4271301562248175
6126,Tmem135,UP,2.4200590798184267
5374,Sgce,UP,2.4111851043004044
5444,Sla,UP,2.4027402085688885
3483,Mavs,UP,2.3948681457597627
3055,Itgb5,UP,2.39332998098819
1159,Cd74,UP,2.3854657205591883
1150,Cd53,UP,2.382678702842979
6858,Zfp36,UP,2.3819488734832595
2912,Ifi27l1,UP,2.380905659497658
1561,Cxcl10,UP,2.3788775043354717
5728,Sqrdl,UP,2.3743051244436755
3376,Ly6e,UP,2.365685693453741
3307,Lpxn,UP,2.3646009438149114
5263,Sash3,UP,2.3634741137998008
2954,Il10rb,UP,2.36313814318169
1304,Clec4a2,UP,2.361295233126939
5312,Selplg,UP,2.3602511217138993
291,Abcc3,UP,2.3575618998022825
3924,Nfam1,UP,2.357317457952841
2097,Evi2a,UP,2.346827056925768
4388,Phyhd1,UP,2.3410947969371696
5031,Rhob,UP,2.33928245775645
2251,Fcgr1,UP,2.3373310103760216
3056,Itgb5,UP,2.336617068319896
4579,Ppfia4,UP,2.3251870950976428
3208,Lat2,UP,2.3204327375923564
3630,Mlxipl,UP,2.320251925475977
1113,Ccrl2,UP,2.317581854120075
717,Asph,UP,2.307408144598176
5513,Slc2a5,UP,2.3009350069939862
321,Abi3,UP,2.2967542848608935
2178,Fam46c,UP,2.2955675231998653
1468,Crlf3,UP,2.295432006937423
4756,Ptgs1,UP,2.286994185079919
822,B2m,UP,2.28115664361737
1124,Cd164,UP,2.279929126964229
5808,Stk17b,UP,2.2752545768343544
1532,Ctsc,UP,2.272883404699453
1097,Ccl4,UP,2.271016634417297
1026,Capza2,UP,2.263360952574088
5381,Sgk1,UP,2.2629996291470937
5382,Sgk1,UP,2.2629877952720427
3235,Lgals9,UP,2.2607784102892485
2857,Hps3,UP,2.259996450110916
5016,Rgs1,UP,2.25946265039506
868,BC017643,UP,2.259169927525276
4026,Nptn,UP,2.2587028114275154
1712,Dennd1c,UP,2.247786497779767
2920,Ifnar2,UP,2.2432805423718114
5377,Sgk1,UP,2.2431339985310843
5727,Sqrdl,UP,2.2348211387469994
5264,Sat1,UP,2.232672191150335
5256,Samsn1,UP,2.2318119483379837
4106,Obfc2a,UP,2.2311978525556238
30,0610040J01Rik,UP,2.2293897755936625
4493,Plk3,UP,2.2293425942952454
904,Bhlhe41,UP,2.2288356543228134
2953,Il10ra,UP,2.2258561126870036
4164,P4ha1,UP,2.2208958051786047
415,AF251705,UP,2.2084169275978525
2513,Gna15,UP,2.2051054122422094
3025,Irf8,UP,2.2009038724050223
2533,Gngt2,UP,2.1961498379656046
2330,Fmo5,UP,2.194954796127154
1163,Cd84,UP,2.1929647442049256
1141,Cd37,UP,2.192039664341457
719,Asph,UP,2.1809992783872194
4095,Nupr1,UP,2.1782437163058392
2913,Ifi27l1,UP,2.1760960319436027
6775,Ywhah,UP,2.171026402196767
5380,Sgk1,UP,2.167430153629423
3951,Nfkbiz,UP,2.1669855856394467
1338,Cmklr1,UP,2.1645111560777925
2337,Fos,UP,2.1567909994437664
4067,Ntpcr,UP,2.1545035243361954
