gene,direction,valence
Tbxas1,UP,2.826897575364764
Lrba,UP,2.817633579494209
Nxt2,UP,2.814425984400443
Pid1,UP,2.813880683281476
Zfp953,UP,2.8114966499917178
Herc6,UP,2.8097938442335346
Hvcn1,UP,2.8089588870874285
Paqr5,UP,2.8088384483870628
Fmo5,UP,2.8042084057845216
P2ry6,UP,2.800466716271817
Cept1,UP,2.7982994537170307
Unc13d,UP,2.7948232290119477
H2-T24,UP,2.7945508768853946
Dnajb4,UP,2.7919305248248527
Klf2,UP,2.7916109925884727
Hsd17b11,UP,2.791301134471239
Casp8,UP,2.790456552089368
Il13ra1,UP,2.7892964315167363
Mbnl1,UP,2.7856776754949246
Gbp7,UP,2.783786480083919
Atp10a,UP,2.781587174326362
Blnk,UP,2.7733794060106907
Parp10,UP,2.7686142864858976
Numb,UP,2.7623286815358066
Rps6ka1,UP,2.762027406342591
Trim34a,UP,2.760218861449018
Apbb1ip,UP,2.760089902264904
Ggta1,UP,2.7450994758423093
Socs3,UP,2.7444474123764877
Ifnar2,UP,2.7428119543645764
Fam78a,UP,2.7376585541257596
Csf1r,UP,2.7319189250756724
Tmem135,UP,2.731309244137893
Tmem64,UP,2.727082345697218
Mtus1,UP,2.7252711668238723
Vav1,UP,2.714464043522759
Scamp2,UP,2.71324639557611
Il1rl2,UP,2.7101958135421356
Scrn3,UP,2.6996149458086074
Map3k5,UP,2.6962878622900397
Clk1,UP,2.6860759594466765
Smad7,UP,2.6822903431586824
Elmo1,UP,2.6816544438965724
Cd68,UP,2.681046975938302
Btbd19,UP,2.6769650493979307
Slc4a10,UP,2.6750718734443413
Pvt1,UP,2.675053283216675
Skap2,UP,2.674345778604024
Parp3,UP,2.67368539610363
Fap,UP,2.668716943676658
Gm14420,UP,2.6655934776327057
Cttnbp2nl,UP,2.6590462611688976
Pld4,UP,2.6564048532867006
Ccdc88b,UP,2.6563844891850104
Rffl,UP,2.655485225877623
St3gal5,UP,2.6541460686371137
Edem2,UP,2.6533103455540803
Birc3,UP,2.6513954073334225
Nmi,UP,2.6430971532555625
Ganc,UP,2.6412556409776817
Ivns1abp,UP,2.634747862324915
Dusp1,UP,2.634083992976498
Cyth4,UP,2.631051558355513
Rnf135,UP,2.6261024169248612
Ogfrl1,UP,2.624700206483255
Map3k8,UP,2.6236096357088794
Cd200r1,UP,2.618024366174247
Slc17a9,UP,2.6171151362944007
Lactb2,UP,2.6160595362031884
Akna,UP,2.614044016808054
Tspan14,UP,2.6134218377947085
Arsk,UP,2.6132623942807647
Gbp5,UP,2.612503796166752
Tlr12,UP,2.6114922193263466
Trim30a,UP,2.6105683008581786
Btk,UP,2.6096653013090787
Rilpl1,UP,2.6057809196386055
Rin2,UP,2.605531579797346
Trim12c,UP,2.60342639686354
Trim65,UP,2.596586998053804
Tram1,UP,2.5922730264726135
Cxcl16,UP,2.5922206077832044
