,Upregulated,Downregulated
298,Spg11,Sh3glb2
299,Mob1a,Ppp2r4
300,Mat2a,Gnb5
301,Krcc1,Lrrc4
302,Plekhb2,Slc39a6
303,Zfp160,Csda
304,Tbc1d22a,Cspg4
305,Cerk,Ell2
306,Rasa1,Prc1
307,Sft2d2,Ehmt2
308,Rhoq,Ppan
309,Helb,Chmp1a
310,Elmo1,Klhdc4
311,Ssfa2,Zfp330
312,Tm9sf2,Tmem161a
313,Hnmt,Thumpd1
314,Slc13a3,Nup43
315,Ivns1abp,Tinf2
316,Pip4k2c,Polr2h
317,Tgs1,Usp11
318,Acss1,Eif4b
319,Rogdi,Lrrc49
320,Cyp4f13,Rell1
321,Usp48,Ctu1
322,Adrbk1,Chd3
323,Tlr7,Lss
324,Il1rl2,Hip1
325,Eps8l2,Tfb1m
326,Hps3,2610301G19Rik
327,Bmp2k,Fermt2
328,Mvp,B4galt7
329,Snx18,Ahsa1
330,Tlr3,Mgat4b
331,Asb13,Fanci
332,Clec2d,Wipi1
333,Peli2,Alg3
334,Atg5,Fntb
335,Ophn1,Ap1ar
336,Myo1f,Pgap2
337,Gtf2ird2,D10Wsu52e
338,Hsd17b11,Ube2d1
339,Elac1,Chtf8
340,Trim11,Ubl4
341,Sfxn4,Prmt7
342,Slc24a3,Tbl3
343,Bco2,Fam108a
344,Il13ra1,Bag2
345,Hemk1,Eif2b2
346,Slc16a6,Nr1d1
347,Smek2,Nle1
348,Ccdc117,Atpaf2
349,Pnpo,Yipf3
350,BC016423,Abhd11
351,Nfxl1,Fam100a
352,Rasa4,Athl1
353,Papd4,Eif3m
354,Fbxl14,Pla2g4b
355,Cmtm7,Eif2b1
356,Trf,Txndc5
357,Cyp4v3,Btbd2
358,Galnt10,BC022687
359,AF251705,Tmem189
360,Slc25a45,Rabepk
361,Lpxn,Trub2
362,Rbm26,Mrps35
363,Sft2d1,Fbxo21
364,Gpsm3,9430015G10Rik
365,Acacb,Tardbp
366,Tmem19,Rfc4
367,Tor1b,Klhl22
368,Sult1a1,Pim3
369,Rp2h,2-Mar
370,Ier3,Rabif
371,2610018G03Rik,5430435G22Rik
372,Tmem30a,Epb4.1l5
373,Smap2,Srgap3
374,Rbm39,Igsf8
375,Cd209a,Mrps6
376,Acbd3,Ube2n
377,Gcnt2,Ppap2b
378,Cd81,Psmd5
379,Slc12a6,Eri3
380,Tm9sf3,Zfp358
381,Tmem123,Klf16
382,Clp1,Fgfrl1
383,Ehd4,Afg3l1
384,Usp53,Def8
385,N4bp2l1,Gpr124
386,Slc15a4,Fubp1
387,Smpdl3b,Bag6
388,Osbpl9,1110038F14Rik
389,Cept1,Ube3b
390,Olfml3,Mta1
391,Stk17b,Aco2
392,Efr3a,Anp32b
393,Errfi1,Idh3b
