,pvals,direction,sig,logdiff
C920021L13Rik,0.04139013591358323,DOWN,2.308743695033594,-0.9593424363770989
Gm17066,0.006877721276565889,UP,-3.31618040616088,1.0358789107603021
0610009L18Rik,0.007892873253613613,UP,-3.2386507276262075,2.6386350222376462
LOC100616095,0.031238777246210478,UP,-2.467880221753752,1.3018445210597556
2310040G24Rik,0.007030874344440868,DOWN,3.3037642624196897,-1.4262515510314946
5730480H06Rik,0.010895715005154356,UP,-3.0577466869781222,1.7574442006040278
2900008C10Rik,0.04377727703351685,DOWN,2.276856060531183,-0.8152665110821463
2310014F07Rik,2.0549511761832002e-06,UP,-9.018277172904188,3.5396300736648887
LOC622070,0.031442275136996725,UP,-2.464222067938586,3.2233565039519134
Gm15987,0.01999288793807441,UP,-2.7182781747903872,3.9049762404288693
D730005E14Rik,0.0011199129658742712,UP,-4.368725418991775,2.043562612804508
5430416O09Rik,0.013279219255730513,DOWN,2.9470518811637607,-2.2339876702842036
Mir761,0.02036839205199109,DOWN,2.70786666577161,-2.567095686335364
Mir147,0.001137494811801487,UP,-4.359366097745447,6.376725634490352
AY512915,0.04579505803208615,UP,-2.2511800170722673,3.1893840421723403
4933413J09Rik,0.015986689881590604,UP,-2.8433181905842453,2.4137300460491704
Hmga2-ps1,0.005288529721138316,DOWN,3.4647665231145393,-0.8475081340379956
Gm16548,9.296082743393648e-07,UP,-9.772903904566338,4.582056865508295
Atp6v0c-ps2,0.010435167031025021,UP,-3.0819367641984132,1.2704777557494813
AI507597,0.048239275993247996,UP,-2.2214923884895996,2.410275022835373
Gm6682,0.0274773001615395,UP,-2.5400546929284356,3.080183256505499
Mir1892,0.035253876247340436,DOWN,2.399658283198891,-0.782789036955088
Tppp,0.010978738784910798,DOWN,3.0534959851724555,-0.9414841479887491
Insig1,0.013210005314739648,UP,-2.9499741591861324,0.9158638329972763
BC028528,0.02165770153622252,DOWN,2.6735127792775977,-1.1389446810709507
Il1f9,4.826059125401275e-06,UP,-8.257698429215035,4.887549195377158
Dirc2,0.005816653448429756,UP,-3.410834968009117,1.3717975012981376
Gnl3,0.02100554474891656,UP,-2.690628484410304,0.818426674837511
C85492,0.018158175077868013,UP,-2.772115110928521,0.9172025311013821
Phldb1,0.02195400124182112,UP,-2.6659043706486965,1.3972763538939752
Dusp7,0.036310022771747705,DOWN,2.3829690463695252,-0.8437033753239686
Csrnp1,0.012116751646407173,UP,-2.998292963066239,1.3289394338500227
Zbtb24,0.0001552316259743836,DOWN,5.621608613851396,-1.1665306359705325
Adamts16,0.039485006395991874,DOWN,2.3354909416473535,-0.8891018042524034
Cd300e,0.00035232787470379484,UP,-5.08479241076697,2.3130876542042866
Cd300a,0.03755884807509468,DOWN,2.3638320946076647,-0.6572953911125508
Gbp5,2.1558765666530792e-06,UP,-8.974189669681481,3.7937772775231307
Fam13a,0.03623759966695302,UP,-2.3840983393784585,0.8048925846620356
Noc4l,0.00756637073082799,UP,-3.2624207395166676,1.1312074492068132
