Gene,F_P60_LPS 1,F_P60_LPS 2,F_P60_LPS 4,F_P60_LPS 5,F_P60_LPS 6,F_P60_Sal 1,F_P60_Sal 2,F_P60_Sal 3,F_P60_Sal 4,F_P60_Sal 5,F_P60_Sal 7,F_P60_LPS 3,F_P60_Sal 6
Eral1,23,9,11,24,18,66,23,52,22,17,18,15,23
Tpm3,345,139,288,467,573,884,276,627,238,221,208,319,111
Smoc2,0,0,0,2,0,2,0,3,1,0,0,0,0
Slc28a3,3,20,8,8,12,26,10,15,5,0,21,11,6
Clstn2,0,0,0,0,0,1,0,2,0,0,0,1,0
Parvg,231,100,187,218,270,688,209,546,203,221,181,199,99
Tnmd,0,0,0,0,0,0,0,0,0,0,0,0,0
Sdf2l1,53,20,38,57,52,117,66,152,40,33,41,27,43
Ctsz,638,271,767,707,832,1703,684,1443,513,640,436,506,417
Ctsm,0,0,0,0,0,0,0,0,0,0,0,0,0
Herpud1,398,180,407,791,662,1530,405,1025,382,391,337,447,281
Foxb1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zfp296,1,0,0,1,1,2,0,5,0,0,1,0,1
Myh9,534,235,678,731,1003,1340,538,1420,398,435,450,744,79
Slc13a2,0,0,0,2,1,1,1,2,0,0,0,0,0
Trpv6,0,0,0,2,0,0,0,0,0,0,0,0,0
Ngb,0,0,0,0,1,0,0,1,1,0,0,3,0
Stk32b,0,0,0,0,0,0,0,0,0,0,0,0,0
Itm2c,393,296,556,504,545,1210,537,1104,338,430,367,321,248
Tmub1,1,0,3,5,3,6,3,4,3,2,3,1,2
Abhd8,4,6,20,4,7,19,4,19,3,0,10,5,4
Gprc5b,31,44,36,67,48,163,29,127,20,7,60,35,20
Gng13,0,0,0,0,0,0,0,0,0,0,0,0,0
Rnf187,39,26,78,62,56,146,60,142,40,28,57,46,20
Fndc4,4,1,7,5,3,13,1,16,2,2,0,2,1
Gpr88,1,0,0,1,0,0,0,0,0,0,1,2,0
Irx6,0,0,0,0,0,0,0,0,0,0,0,0,0
Ms4a8a,1,0,0,2,0,0,0,0,0,0,0,1,2
Sirt2,60,30,117,86,122,207,90,192,57,51,75,88,47
Sirt3,7,5,5,21,20,33,14,21,5,8,13,6,6
Sp5,0,0,3,0,0,4,0,1,0,0,0,0,0
Ddr2,46,54,16,44,22,100,18,68,14,2,56,25,18
Ndst4,0,0,0,0,0,0,0,0,0,0,0,0,0
Thop1,5,3,11,15,10,22,6,16,4,1,6,11,3
Lrdd,7,3,2,2,12,17,7,15,1,4,2,1,3
Ireb2,182,160,82,134,152,388,112,347,116,115,200,121,84
Nisch,286,158,282,313,343,925,287,754,223,197,288,349,64
Fgf23,0,0,0,0,0,0,0,0,0,0,0,0,0
Scube1,10,0,2,5,5,11,5,11,2,4,3,4,0
Suv39h2,17,4,4,11,16,25,3,25,6,17,7,4,5
Polr1e,2,7,6,11,18,13,11,14,8,4,8,7,11
Scamp2,488,138,453,423,449,1246,443,995,344,455,322,380,174
Svep1,0,0,0,1,1,5,1,5,0,0,0,0,0
Acot10,0,1,1,0,1,0,0,0,0,0,0,0,0
Myl7,0,0,0,0,0,0,0,1,0,0,0,0,0
Rgs18,4,0,0,0,0,0,0,3,1,1,0,0,4
Bhmt2,0,3,3,0,0,3,0,0,0,0,0,2,1
Slc30a5,115,95,61,109,113,295,74,226,70,71,107,67,114
Scel,3,0,0,0,0,1,2,0,1,0,0,2,0
Tsc1,57,41,37,57,62,177,57,139,39,41,66,64,14
Folr4,0,0,0,0,0,0,0,0,0,0,0,0,0
Pes1,32,31,29,47,55,91,42,86,30,44,35,29,38
Rpl23,20,25,8,36,51,68,22,57,16,26,19,8,50
Nup98,176,78,74,152,173,386,70,175,89,75,106,98,21
Rcan3,31,18,21,15,29,89,37,101,35,26,37,35,12
