"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pmm1",17.7345725136832,0.635119824823578,0.338217392380756,1.87784495750762,0.0604023780288074,0.239762030714179
"Sult4a1",6.12249434934809,-0.0140809789813024,0.43906120371536,-0.0320706517955775,0.974415707840543,0.989524022684614
"Dpf1",0.429546513511723,0.25610197262438,1.450038334319,0.176617380770597,0.859808940831793,NA
"Pde7b",5.37758500454794,0.189819599220218,0.372851002091533,0.509103095218764,0.610679962366113,0.811922818490176
"Rnf11",118.191842955424,0.162653962396217,0.142843720515076,1.13868472348457,0.254834676674588,0.533406383580509
"Cabp5",0.123308266819976,-0.0337520160031302,2.38710271083477,-0.0141393228912748,0.988718828455583,NA
"Cabp1",0.632983559814871,0.0797352142105406,0.903171410277883,0.0882835896964543,0.929651281549271,0.970215365762813
"Plcl2",253.784814527859,0.159882775273356,0.154319370212001,1.0360512426516,0.300178237069874,0.577766845752726
"Ulk2",352.412622424053,0.0354806729835139,0.161989338581321,0.219030914591346,0.826625966046528,0.926843601459872
"Clic4",763.968334447072,-2.51073249843919,0.173319018461112,-14.4861915370385,1.48131420704934e-47,1.48300713757168e-44
"Hdgfrp3",205.644631764788,-0.427064973790975,0.12341652696384,-3.46035481873593,0.000539464043180457,0.00670505169942848
"Dnajc12",10.5617551348709,0.586858836487338,0.300784063217111,1.95109684406296,0.0510455265787707,0.216672955944291
"Zfp292",197.53313745305,-0.181113841151451,0.16443455178164,-1.10143421312061,0.270707721872596,0.549173459222219
"Spdef",0.135171615722548,-0.963429447505423,2.78826811329356,-0.34552970100404,0.729696185448418,NA
"Pcsk1n",0,NA,NA,NA,NA,NA
"Timm13",16.8646626341288,0.702563950478292,0.308208633733686,2.27950768921469,0.022636903413191,0.125159305025359
"Timm8b",25.2039848601159,0.1824541501037,0.244972984506613,0.744792943071542,0.456396901679145,0.709894459431239
"Timm8a1",2.46749006461272,-0.0280397366689324,0.545195626157718,-0.0514305972455122,0.958982403952071,0.982967483822746
"Timm10",12.548487124132,0.296721396926152,0.336044860306301,0.882981506265841,0.37724626370672,0.646889644245944
"Mfi2",0.171290767926203,0.946666321190742,2.28740719455158,0.413859991105049,0.678976646075915,NA
"Fkbp3",54.4328416166278,-0.0758965526592629,0.191264642770903,-0.396814338289236,0.6915043765595,0.858877432231393
"Mmp20",0,NA,NA,NA,NA,NA
"Hey2",12.8491788575639,1.31455751157945,0.370965441578256,3.54361178762831,0.000394685946717424,0.00510795773701885
"Heyl",5.61353320055164,-0.317987737586312,0.501285112961518,-0.634345065042301,0.525855652451078,0.758640372658909
"Adamts8",2.12208604391581,-2.09045331496477,0.684089427883503,-3.05581877128609,0.00224446874668956,0.0217856467822721
"Fbxw4",52.7331841808218,0.26968363415238,0.155514861837978,1.73413415904486,0.0828942818652566,0.288370874813461
"Fbxw5",52.4687988526242,0.167474175855604,0.167440804851217,1.00019930031044,0.31721406779311,0.593663684600074
"Fbxl6",26.1522431657145,0.25289997146084,0.206999703458728,1.22174074278934,0.221805683669324,0.497412553969479
"Angptl3",5.04595983991962,-3.74056124743069e-05,0.359793857697789,-0.000103964010707837,0.999917048721127,0.999956857355555
"Snai3",0,NA,NA,NA,NA,NA
"Usp25",183.452965225782,-0.488991750391529,0.114543537417039,-4.26904704899385,1.96309861609517e-05,0.000364434307327019
"Usp21",69.4099042492639,-0.155103688755202,0.132906350216114,-1.16701488305859,0.243204359216318,0.520174706041457
"Hnf4g",0,NA,NA,NA,NA,NA
"Prss30",0.157441798711613,0.868435484528232,1.9918131081748,0.436002494894727,0.662834919426226,NA
"Zfp354c",12.9128968953167,0.571344532558516,0.225711119014158,2.53130875897468,0.011363776723333,0.0766232219312198
"Rnf19a",73.3078163577901,-0.229058872492782,0.0980166018717146,-2.33693954002382,0.0194423280202797,0.112280045130713
"Abt1",11.4677137697577,0.366140168415554,0.228577892435858,1.60181793835682,0.109195875104239,0.336002060474427
"Adat1",4.3292096235409,-0.16408035133769,0.344455126897546,-0.476347537095867,0.633826803953237,0.825906440459182
"Cbx8",3.61999854521899,0.47713181308181,0.528566063302284,0.902690971306156,0.366689929603844,0.638491732485459
"Cngb3",0.234251572916438,-1.40733426181969,1.79010283610565,-0.78617509197479,0.431764916343474,NA
"Siva1",2.0376064590351,0.999632728681544,0.593106724922751,1.68541796387782,0.0919079601866213,0.306345296070317
"Aass",25.6581636051734,0.501877601238773,0.380746181170664,1.31814217990492,0.187456056793922,0.453388109063609
"Ddx25",0.368294841526159,1.78804883377304,1.39982630092717,1.27733621849277,0.201483572021504,NA
"Vapa",283.880153054476,-0.598851088780662,0.122472364214583,-4.88968342059128,1.00998275377277e-06,2.53236462913758e-05
"Slc33a1",77.7077350944121,0.283150552026004,0.194830054324868,1.45332070561283,0.146134731005535,0.397831419153551
"Acox1",155.55665656603,0.11650747125689,0.131499726446457,0.885990217662765,0.375622798591394,0.645149075301388
"Chrna4",3.7073055178355,0.821122036289288,0.497237078834674,1.65136927884315,0.0986631938907148,0.317899615074082
"Atp9a",27.715568582995,0.256442468449608,0.342277078602838,0.749224778639564,0.453721736803432,0.70818303786888
"Axin2",10.5910584949139,0.697339752147027,0.380731030296827,1.83158108127768,0.0670138575632989,0.255443630026434
"Casp9",46.979975386375,0.187949483522292,0.170562851921207,1.10193680162617,0.270489147807913,0.548809481134294
"Col5a1",4.28807969835098,-0.0621274337383081,0.452981944950853,-0.137152119263934,0.890910556455509,0.953570245076779
"Ddb1",395.139788279345,0.142305604696035,0.100929727974538,1.40994737181829,0.158555223375406,0.415929255255415
"Galnt3",14.5789348934853,0.551518953533728,0.337474851315315,1.63425200836202,0.102205946169363,0.323952632634508
"Galnt4",63.7032296661137,0.168739969866207,0.151000564923897,1.11747906341444,0.26378954655815,0.541170123618124
"Galr3",0.0845277456139991,0.226535585124025,2.64111284460105,0.0857727777846023,0.931647046889542,NA
"Gbx1",0,NA,NA,NA,NA,NA
"Bloc1s1",30.670429756732,0.459929580603205,0.348827812938077,1.31850031317557,0.187336220286188,0.453221211318035
"Krtap9-1",0,NA,NA,NA,NA,NA
"Nr4a3",15.7678786574085,-0.68359618877638,0.299438398640373,-2.2829276134267,0.0224346326160985,0.12443364097635
"Enpp2",22189.9015649541,0.286549066481021,0.460442181331541,0.622334525590938,0.533721923349576,0.764058175686294
"Rbp3",0.056743632268279,-0.519528994800925,3.0009538303155,-0.173121288822462,0.862556091544075,NA
"Slc20a1",99.62913596303,-0.62533611595919,0.193225289053024,-3.23630576009949,0.00121087604653802,0.0131563090451759
"Slit1",0.0890891548180196,-0.500930797775512,3.00094944687471,-0.166924104068863,0.867429766929304,NA
"Abce1",199.601660806545,-0.29107199318929,0.145770647631955,-1.99678054476506,0.0458490279196,0.202399992227123
"Zeb2",398.833642621023,0.278730515716817,0.148580245914659,1.8759594453553,0.060660848859261,0.240108008362441
"Rbbp9",38.6018997714654,-0.0739047452045151,0.194926548344507,-0.379141506542754,0.704582785385714,0.866381755692504
"Hunk",3.20840427559884,0.155709441280168,0.537085674110268,0.289915461882529,0.77188091251837,0.89990707618179
"Foxe3",0,NA,NA,NA,NA,NA
"Fgd3",114.870981216186,-0.0503117121290998,0.244603106580189,-0.205687134691423,0.837035308715305,0.931884211921918
"Nox4",0.552055374334935,-1.48385055984822,1.15194419809117,-1.28812711788213,0.197701716975487,0.466420638052658
"Hspa14",55.9786766023587,-0.248014651111805,0.125533211586689,-1.97568952452503,0.0481899520868247,0.208967258241243
"Ebi3",19.0396404413075,-0.879063459055765,0.270775692936139,-3.24646370404852,0.0011684834659228,0.0127649760392627
"Ercc4",25.0770720015898,0.295511990231943,0.150217994000786,1.96722098572556,0.0491577396653606,0.211321180213011
"Lats2",76.807713486203,0.449658158419567,0.134518418447797,3.34272558069116,0.000829598958515529,0.00965752408849972
"Spag6",26.7201291755259,0.378130021172975,0.431880585752583,0.875542994168297,0.381278527340012,0.65020814027562
"Ero1l",47.9195222656316,-0.327643634997984,0.176245910558078,-1.85901411250059,0.0630251380458841,0.246061374610337
"Tmprss2",2.2143284132995,-1.37725981815016,0.628178986185933,-2.19246400856603,0.0283460191703208,0.146821066035187
"Mfap5",0.133327759408594,-0.963429438081547,2.79850303087489,-0.344265997732492,0.730646253028608,NA
"Igbp1b",0,NA,NA,NA,NA,NA
"Elane",0.139588272020361,0.0194112548119274,2.35105184780576,0.00825641290303482,0.993412410461329,NA
"Cfhr1",0,NA,NA,NA,NA,NA
"Isg15",76.0120323225012,-3.51906673291874,0.284778520308162,-12.3572056246051,4.45370918125862e-35,1.95072462139128e-32
"Hist1h1c",178.518435767193,0.531247828887308,0.21498469300491,2.47109606484948,0.0134699628911847,0.0864050342713249
"Hist1h1e",5.87973076347644,0.168188247106119,0.405361992956731,0.414908772969428,0.678208687309707,0.851009217666325
"Dkkl1",0,NA,NA,NA,NA,NA
"Icosl",206.857390765928,-0.657377943981611,0.166920555643054,-3.93826836634405,8.20717712113909e-05,0.00129686352344854
"Fbxo8",44.1553858396665,0.319618118746146,0.151096218982972,2.11532837087184,0.03440197003988,0.167779791568893
"Fbxo18",134.962339799584,-0.0895513914590657,0.0958132745637164,-0.934644931684424,0.349971315198381,0.623278011921284
"Fbxw14",0,NA,NA,NA,NA,NA
"Fbxl17",81.8015882892406,-0.0928149109732308,0.140468319704557,-0.660753336897926,0.508770512466314,0.746693979343231
"Fbxo16",3.40242268651308,0.658625079060104,0.565284123368031,1.16512219578349,0.243969533568041,0.520706103622606
"Fbxo17",3.15711102141436,0.450291791226648,0.524013967029807,0.859312574775388,0.39016808837689,0.65823253811874
"Fbxo6",22.4365748387961,-0.192280731361279,0.169997420281782,-1.13108028958652,0.258021299479568,0.536195352168854
"Fbxo15",0.0496799848774492,-0.278980759760038,3.00094945063173,-0.0929641649582966,0.925932030117454,NA
"Trfr2",0.341818533730383,-0.105355680338685,1.36278757287678,-0.0773089529399538,0.938377768808808,NA
"Crim1",87.1739262439312,-0.128958527385491,0.155275512624094,-0.830514259500059,0.406248089066711,0.671300780047044
"Atp8a2",101.522229709839,0.0256053268028416,0.157633502694838,0.162435817038278,0.87096266743779,0.945349074981652
"Atp11a",188.139079571039,-0.104962995493866,0.209053760739276,-0.502086138621405,0.615606930189089,0.815733204939701
"Mapk6",296.4179900314,-0.959164286813576,0.193030376548658,-4.96898106900701,6.73056399333869e-07,1.73730358988278e-05
"Krtap5-1",0,NA,NA,NA,NA,NA
"Krtap5-4",0,NA,NA,NA,NA,NA
"Polg2",10.2696483333216,-0.202389242290325,0.233529837354003,-0.866652606722485,0.386132380205633,0.654627349007908
"Rgs1",847.744550226221,-0.0590799770623384,0.193342389637747,-0.305571774368946,0.759930713914207,0.894186522014093
"Rgs6",0.707486139739669,-0.544922079382547,0.863751349190612,-0.630878411817444,0.528120028353595,0.760227713493708
"Dkk3",6.78372540490296,0.0238987697621407,0.457117877470485,0.0522814156698209,0.958304461210144,0.98256000938708
"Lsm4",16.0236222290169,-0.157944129075211,0.269810805641486,-0.585388449138251,0.558286553760705,0.780387387803934
"Ppap2c",8.62430959504221,0.40259786847448,0.270524219673197,1.48821376866306,0.136694527301072,0.382733995471587
"Hs6st1",116.755643368968,-0.0665183080559846,0.178083371162268,-0.373523409972813,0.708758925393689,0.869037275681737
"Hs6st3",0.721341310834777,-0.228109839003267,0.924109095191139,-0.246842975780999,0.805029749509776,0.917938250010496
"Fbxl8",1.63630829123298,1.1553566754334,0.681890538871523,1.69434331402431,0.0902000643996131,0.302740446030885
"Fbxl3",181.036233417764,-0.0475566667776097,0.0908949027260693,-0.523204991163603,0.600831608477959,0.806710970823553
"Dmrt1",0,NA,NA,NA,NA,NA
"Copb2",224.996656366859,0.10835683807599,0.12192058737995,0.888749311371913,0.374137823067351,0.644136559158825
"Solh",13.9774533044271,0.545982097944994,0.333885764572043,1.6352362271114,0.101999536531365,0.323862208753258
"Galt",14.3479789184724,0.161958398945957,0.236270817320821,0.685477795279479,0.493042467759482,0.736396031641782
"Mxd3",6.3330643054902,-0.148205784688594,0.383956157756864,-0.385996634497119,0.699499161311255,0.863887293676266
"Stra13",17.2820767002306,-0.00708107745466904,0.239642129553554,-0.0295485500310854,0.976427098502081,0.99056182777976
"Aip",36.6017426777745,0.611696381036726,0.227842376310296,2.68473490727494,0.00725873540559516,0.055083072790916
"Sntb1",13.8139070272945,0.0256080196416261,0.350791641502307,0.073000655123813,0.941805596189933,0.97549659069112
"Bhmt",4.30241711095798,0.453119514261319,0.536651197859843,0.844346413589222,0.398475857157779,0.665008710940504
"Crym",0.172168703497051,0.961246606159216,1.92400186036855,0.499607940075009,0.617351165916029,NA
"Il27ra",3.13192230755511,-0.084528861340412,0.45093419262986,-0.187452765219327,0.851305655060385,0.937974103269398
