"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sema6a",14.4576524799315,-1.62475817444562,0.394152686645937,-4.12215425517352,3.75345712372389e-05,0.00161656246514892
"Akap7",21.3287282955763,0.199875382002253,0.269776267255943,0.74089312612746,0.458758243654231,0.896779867519907
"Golga4",149.093737737522,0.0643744174236052,0.239042272570932,0.269301394817116,0.787697758909338,0.973037153596629
"Eif3d",97.0659885142093,-0.16446866185047,0.230079680062474,-0.714833495099661,0.474711935332668,0.902391943628121
"Rassf5",170.932697429733,-0.211687566081183,0.216355045516639,-0.978426759476253,0.327863298684017,0.836246416468482
"Sult1c1",0,NA,NA,NA,NA,NA
"Ywhab",263.049204300466,-0.0593508726315164,0.143277590210524,-0.41423695460197,0.67870058036204,0.953082630901472
"Sfn",1.05569412530662,1.602250906808,1.1048922311727,1.45014225062241,0.147018855140474,0.657270737628205
"Pgcp",109.664291622045,-0.393360687312094,0.407062344348082,-0.966340151020524,0.333874001148201,0.840245589382353
"Tcstv1",0.574480570100618,0.307059707533002,1.44364887890431,0.212696945926388,0.831563349059698,NA
"Nme6",9.12217778512787,0.125660398311642,0.473777469392444,0.265230844499179,0.790831635045306,0.973099846309146
"Apba3",9.01105234716981,0.200003482623707,0.556401978950705,0.359458611202076,0.719252035026946,0.958799521177388
"Zfp326",64.5974564153331,0.111979136636064,0.255566487105853,0.438160487723429,0.661269949012148,0.950206670335838
"Ctnnal1",121.836696414505,-0.714263883592411,0.314720045966151,-2.26952141354616,0.023236636537048,0.263768848339152
"Gp9",7.53376446537726,0.129009207465063,0.503527455311634,0.256210870140575,0.797788015548418,0.974209982224913
"Chst2",2.95637426890258,2.08610082866779,0.774355230733531,2.69398429283117,0.00706034918555137,0.116268199658267
"Wbp4",57.8175751495598,0.0617639504697042,0.169482115326089,0.364427540633822,0.715538772902596,0.958304018021499
"Ntsr1",0,NA,NA,NA,NA,NA
"Stx8",20.2606936847381,0.441398484071342,0.299657817691813,1.47300840495776,0.140748769453619,0.648108322828638
"Dfna5",4.93215468195404,-0.14093877218746,0.468426557763683,-0.300876988828978,0.763508297991462,0.968457734285801
"Gipc1",16.6760094232346,0.309920713967068,0.361770184386837,0.856678431066262,0.391622626764141,0.871830354190081
"Skap2",130.624322580725,0.264537274775362,0.18165749718434,1.45624198767265,0.145325736179498,0.655233622001233
"Crlf3",129.479812211393,0.268300271537276,0.166245343189386,1.61388142602966,0.106553148201166,0.584629967614371
"Cldn6",0.531464493730147,0.325485377396884,2.48412193793315,0.131026328630106,0.895754479714603,NA
"Cldn8",0,NA,NA,NA,NA,NA
"Pde3a",5.62534273668376,-0.217953453978056,0.642515849684214,-0.339218797614373,0.734444909462505,0.962903697484359
"Sfrp5",4.37490785291049,-1.41355615234043,0.764780214121707,-1.84831684481245,0.0645565203000348,0.467981507719559
"Egr3",20.912367987775,0.479782317499514,0.492808431267196,0.973567591499627,0.330271284368493,0.837852792433565
"Calcrl",54.8786657823418,-0.289432642068917,0.29934570991484,-0.966884216083329,0.333601917940468,0.840245589382353
"Tfip11",51.5012404658234,-0.232094732302718,0.314059360096762,-0.739015491310972,0.459897590664012,0.896864508775187
"St3gal6",371.695442133432,0.137362664848852,0.135526506565715,1.01354833330885,0.310798321955732,0.826532889112135
"Prpf40a",113.055818691371,-0.146454369239536,0.160664107502937,-0.911556236895405,0.362002368863568,0.858062809218158
"Prpf40b",35.185512567553,-0.112776792878909,0.268765431854818,-0.419610483761276,0.674770028451203,0.953082630901472
"Extl3",241.183985135033,-0.198014112104193,0.208728781436153,-0.948667024939072,0.342789990216786,0.844204161892753
"Foxo4",32.337781237722,-0.00301981156471334,0.367693617069752,-0.00821284739392275,0.993447169529919,0.99918389310316
"Zfp108",5.73524879701566,1.45753039288613,0.609099698561017,2.39292581547735,0.0167146202518344,0.212832831206691
"Hils1",0.0771781320560106,0.202117672224104,3.10414531973853,0.0651121811014726,0.948084681898365,NA
"Atp6ap1",447.152121064522,0.0828725094159303,0.172335421589787,0.480879140523957,0.630602398885291,0.945383491074026
"Abcc6",0.823140987057566,0.480850017134177,1.23607450959118,0.389013779835338,0.697265952870019,NA
"Eef1b2",200.518454557702,-0.0697224752407791,0.263018468802566,-0.265085853317457,0.790943325036353,0.973099846309146
"Plxnc1",6.57260889108235,-0.840395128349823,0.653757538932287,-1.285484416321,0.198623058962377,0.730779814088545
"Ubqln2",54.7091294374324,0.0180629913365422,0.30659727184202,0.0589143902945406,0.95302029616342,0.995099469118086
"Eif3i",74.6109188986559,0.377661290408622,0.362502580928299,1.04181683187332,0.297496608874509,0.818931795866672
"Syt6",6.04402690718537,0.630418925986263,0.630354760328027,1.00010179293038,0.317261248551934,0.830767455046401
"Syt8",0.433831450416387,0.2992122333251,1.64344372678555,0.182064179289142,0.855532359648016,NA
"Syt10",0.171633025744438,1.16132542051693,3.09213836161231,0.375573562598083,0.707233948201151,NA
"Syt11",35.6792206966052,-0.233273527620399,0.293118531100793,-0.795833435519586,0.426128855003021,0.886791770026696
"Hs3st3b1",5.95625472969014,-0.657136686779676,0.482737572621173,-1.36127105916274,0.173428045315142,0.69955360382847
"Plagl2",71.9500642014944,-0.317805199215611,0.310071250455798,-1.02494248901968,0.305390324758558,0.822345708313598
"Dnajb1",526.095765213962,0.448612673522574,0.200472673007122,2.23777468915495,0.0252357517790255,0.276920876516051
"Ptf1a",0,NA,NA,NA,NA,NA
"Mkrn1",93.022618335071,0.395302003302195,0.200908609607761,1.96757124582144,0.0491173908944542,0.405014810802507
"Abhd2",210.546100627216,-0.415826440802317,0.355906125351509,-1.16835988813519,0.242661627660165,0.775657916791975
"Cpsf3",122.70723169067,0.141950081286637,0.114201191365281,1.242982490722,0.21387428569725,0.748608452716951
"Pcnx",206.787427766458,-0.0829076308128385,0.275659231553251,-0.300761307160587,0.763596515437799,0.968476419685762
