Gene,M_P60_LPS 2,M_P60_LPS 7,M_P60_Sal 5,M_P60_LPS 1,M_P60_LPS 3,M_P60_LPS 4,M_P60_LPS 5,M_P60_LPS 6,M_P60_Sal 1,M_P60_Sal 2,M_P60_Sal 3,M_P60_Sal 4
Esr2,1,0,0,0,0,0,0,0,0,0,0,0
Khdrbs3,36,59,112,41,23,26,28,65,122,177,79,121
Ext1,25,65,84,31,47,62,41,61,60,86,41,58
Ext2,30,68,128,46,24,29,35,81,89,225,79,117
Eya1,0,2,0,0,1,3,2,2,0,0,2,0
Eya2,0,0,3,0,0,0,0,1,0,3,1,1
Eya3,40,60,107,49,34,44,32,61,117,145,113,104
Eya4,35,39,86,42,18,25,14,39,50,102,45,49
F2r,1,17,12,8,5,1,12,12,17,11,6,14
F2rl2,0,0,0,0,0,0,0,1,1,0,0,0
F3,19,32,12,21,89,102,106,30,25,37,19,22
Faah,0,0,3,1,0,1,0,1,4,2,9,2
Fabp3,2,0,0,0,0,0,2,3,3,0,7,1
Fadd,11,11,26,7,7,11,11,7,22,38,28,29
Fbln1,3,8,47,12,3,6,8,7,36,39,93,55
Fbn2,0,0,0,0,1,0,0,0,0,0,1,0
Fbrs,41,149,181,52,36,74,116,121,179,402,123,139
Fcer1a,0,0,0,0,0,0,0,0,0,0,0,0
Fcer1g,517,605,740,416,432,613,452,668,674,1369,391,614
Fcgr1,291,356,798,230,268,299,273,429,600,1148,418,643
Fcgr3,1434,1888,2304,1434,1520,1995,1586,1704,1969,3145,1295,1868
Fcgrt,46,77,182,36,26,39,59,97,172,358,119,182
Fcnb,2,0,3,0,0,0,0,2,1,0,0,0
Fdft1,55,100,154,60,94,79,58,98,179,193,126,160
Fem1a,28,38,102,35,24,19,31,35,94,139,88,77
Fem1b,76,88,171,62,72,54,78,73,216,178,177,204
Fes,76,152,340,74,64,72,111,185,213,734,201,292
Lgr5,0,0,0,1,0,0,0,0,0,1,0,1
Fgf11,1,0,3,0,0,0,0,0,3,8,2,0
Fgf12,0,0,0,0,0,0,0,0,0,0,0,0
Fgf13,9,12,23,9,2,4,11,19,12,25,21,28
Fgf4,0,0,0,0,0,0,0,0,0,0,0,0
Fgf5,0,0,0,0,0,0,0,0,0,0,0,0
Fgf6,0,0,0,0,0,0,0,0,0,0,0,0
Fgfr2,6,19,110,26,26,41,52,22,179,70,235,148
Fgr,15,37,13,23,51,111,56,31,12,22,12,5
Fh1,42,33,126,55,33,36,36,61,148,116,145,146
Fhit,3,6,10,4,2,2,5,4,18,18,9,11
Fhl2,0,0,2,0,0,2,1,2,1,2,4,2
Fhl3,20,35,27,11,14,23,33,37,20,96,11,27
Fhl4,3,4,2,0,0,0,0,2,1,1,1,0
Il4i1,3,16,12,4,14,35,49,6,9,30,9,13
Figf,0,0,1,1,0,0,2,0,4,1,1,4
Ctgf,9,22,40,20,33,74,31,11,51,38,29,67
Fjx1,0,0,2,0,1,0,1,0,4,0,1,1
Fkbp4,31,66,180,54,32,54,62,76,267,302,248,241
Fkbp5,532,949,299,598,412,401,413,875,363,457,123,134
Fkbp7,21,13,42,19,11,10,8,31,35,51,23,24
Foxf2,2,0,25,1,6,4,1,3,26,48,13,48
Foxs1,0,2,4,0,0,1,2,1,4,2,0,6
Flna,209,464,967,253,356,362,334,386,948,998,911,809
Flt1,140,212,938,217,154,234,222,156,775,777,670,854
Fmo1,2,13,33,3,7,7,3,7,36,32,39,57
Fn1,300,433,1037,388,400,625,513,373,896,1358,564,807
Fos,2115,4132,5828,2495,1593,1624,2343,4364,4166,12727,3603,4852
Fosl1,4,12,2,5,5,11,6,4,7,4,2,2
Fpgs,4,22,26,10,7,8,22,8,28,64,30,16
Fth1,1324,2200,2135,1088,2513,4177,2517,2463,3164,3098,2001,2399
Ftl1,191,647,683,258,129,241,374,790,863,2224,474,717
Aktip,33,51,162,56,28,34,45,52,258,135,259,232
Fut4,5,3,11,2,2,1,10,3,4,19,8,5
Fut9,0,0,0,0,3,0,0,1,0,4,3,0
Fv1,2,0,15,5,0,5,1,3,11,4,3,11
Fzd9,0,0,0,0,0,0,0,0,0,1,0,1
Xrcc6,18,28,39,29,14,13,11,15,47,72,50,42
Gabra1,0,0,0,0,0,0,0,0,0,0,0,0
Gabra4,3,5,10,2,3,4,6,9,46,15,27,34
Gabrg1,1,0,3,3,3,5,0,2,7,4,7,9
Galr2,0,0,2,0,0,0,0,0,1,0,1,1
Gamt,2,6,5,1,0,1,2,2,5,7,8,7
Gart,25,58,116,33,31,32,34,45,90,164,89,108
Gast,0,0,0,0,0,0,0,0,0,0,0,0
Gata6,0,0,4,1,0,1,1,2,2,2,1,1
Gbp2,404,456,70,496,471,333,491,282,78,61,42,83
Rabac1,15,55,110,24,9,30,48,61,98,225,153,163
